"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
6709486.59104385,6875006.71088825,6917309.41223235,6853938.39103619,6843635.07202265,6746608.040024,6876113.81085593,6829780.31711358,6820449.94538053,6758039.95078538
6941259.65896466,6854211.03751358,6888004.33032876,6920812.70521811,6856806.56159995,6824106.57931667,6953921.29498429,6864806.72414226,6825179.52811483,6830810.10275734
6991685.24261675,6911284.39431093,6921929.96761165,6914070.02706072,6889675.69979812,6901016.27208375,6930557.84192457,6959488.01907447,6890202.18252343,6915051.89402131
7017293.79208531,6925456.4423582,6914048.26613488,6936212.85336217,6908279.90336537,6917521.80442939,6981482.2435504,6971154.20409324,6911525.0599937,6933589.51543187
7038093.1106952,6939713.08854732,6968096.59138014,6962050.48913549,6981143.10262861,6929155.50649628,6989857.55349884,6973466.23968756,6918727.96271164,6933589.51543187
7047870.72787501,6970802.2712677,6970089.74604497,6969382.28979983,6969623.54512861,6993423.89747493,6996060.41803594,6981304.23835011,6938644.26328669,6930796.73095022
7044407.86626423,6969356.38864488,6965073.2698912,6968780.58811082,6965099.5927056,7019415.66533152,6994078.88011864,6992319.54569829,6940771.37885561,6939791.48694907
7049693.32318544,6976240.08774303,6963443.10467664,6975576.1814464,6972256.15224606,7018957.12969886,6996524.08205898,7087805.50011439,6971147.58319474,6940757.56215467
7069164.21525818,6985048.23074113,6987376.99156933,6992965.47015556,6973698.47521765,7022281.47996526,7023757.76304875,7091968.90352843,6952126.28140923,6952697.10246882
7082139.09497462,6998325.3967055,6983131.52062908,6990177.75402622,6986079.34593862,7096083.84696397,7025845.55878678,7105966.18865319,6962648.04890691,6952295.52533229
7078346.32031085,7005049.71354501,6998683.58298009,6999334.29229672,6983314.61255199,7112442.39113569,7026665.92556997,7106668.74182188,6963072.16093193,6959070.41929872
7070740.31523166,7038950.84284265,6990652.37796726,6994394.96286036,6983075.55189203,7111117.74081684,7041525.20843471,7108006.50222759,6964339.17633368,6959070.41929872
7079514.91742909,7037015.25044562,7003296.02338467,6994103.71313054,6983356.9994566,7122195.68889017,7043041.39243437,7111694.42556478,6964339.17633368,6956426.8599814
7078939.34079049,7037015.25044562,7002341.26051967,6998011.59107811,6986509.18874015,7098650.11558379,7050271.40939086,7112107.15208297,6964339.17633368,6952518.86490055
7078939.34079049,7037015.25044562,7006051.05433633,7012487.36228448,6988473.4299697,7099481.96134257,7050107.47320004,7115622.7513703,6964339.17633368,6955922.55862875
7080065.55307996,7032132.22184706,7006040.1410438,7013054.38727553,6987340.81171028,7112923.83383909,7058602.3149804,7115622.7513703,6964213.44574186,6955922.55862875
7087721.1721009,7032132.22184706,6999532.00710399,7003803.3077451,6987340.81171028,7126522.41301491,7067399.9822979,7118913.9026491,6966362.66822026,6953536.40476347
7089069.38193354,7028444.94093318,7002742.79557149,7007495.61752683,6998751.4573994,7128862.83803381,7066229.18361112,7121478.78327777,6971011.23406065,6995516.43351127
7089069.38193354,7030012.36813865,7002571.1051223,7030585.01044633,7002002.32584488,7128862.83803381,7066879.24885737,7121478.78327777,6971011.23406065,7001213.01862234
7089168.02821007,7032745.60601154,7001861.22291999,7034851.6087487,7002002.32584488,7128862.83803381,7066879.24885737,7127169.69735936,6978507.61147599,7022778.765801
7089168.02821007,7032745.60601154,7003569.87994743,7038453.02190032,7002002.32584488,7129290.70124414,7066879.24885737,7130108.76477306,7000163.20187691,7022778.765801
7092492.03650835,7024759.66599132,7044630.79910643,7037792.69956435,7002002.32584488,7129193.37233462,7067915.27223294,7126751.19058851,7001808.86074135,7024663.53048745
7097757.35889459,7024759.66599132,7048359.56806125,7037792.69956435,7001970.07049454,7130571.60746867,7067793.27422582,7125821.11667944,7002910.43232418,7026352.2138861
7103455.05662816,7024759.66599132,7048095.68961691,7037792.69956435,7005761.00426721,7134783.69352603,7067793.27422582,7125821.11667944,7001152.72730555,7076035.17186407
7101069.02402769,7024759.66599132,7048095.68961691,7023905.02528189,7015829.71571605,7134783.69352603,7067793.27422582,7125205.48393214,7001152.72730555,7075873.10248149
