"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
6380858.55774295,6321895.41199183,6322377.89566364,6252690.17940624,6390008.04884581,6224181.57627395,6315523.74615579,6299900.8339338,6205624.72029749,6227864.79264246
6164977.90582528,6295450.38375534,6267002.1201962,6115544.21967256,6335209.65296307,6165843.08057621,6126219.10573587,6303709.22517208,6199350.44517976,6335773.69213611
6175459.98358902,6141266.76416864,6190605.54128623,6242027.59075914,6275002.96222247,6050316.15906885,6162610.71198995,6187310.69531784,6135603.0264874,6257464.25377195
6080211.92547276,6139701.45891271,6141593.54321794,6163557.70199982,6296239.06438362,6250693.56565426,6149003.84656012,6334295.18353945,6196887.48562936,6316733.2834814
6178752.86747522,6128105.80421856,6158263.31890815,6201939.77774379,6288905.28885075,6273129.80013803,6154111.58580059,6276360.5658719,6239651.52312066,6239977.36810838
6233296.89228388,6251008.03696933,6150409.77980545,6204574.84980656,6269647.84098701,6312094.34149981,6243926.41673898,6320510.32407105,6284108.03921413,6238557.34608829
6262506.94305217,6215756.7094421,6184195.02112254,6194385.92893574,6266950.94583384,6236660.10330114,6210602.01729271,6334484.25971441,6262013.9521386,6244009.9748101
6232101.01126735,6238144.26384403,6180006.27798222,6224340.26582045,6282961.20538935,6320812.81610248,6246437.91103996,6307837.69574772,6266728.34673057,6280866.79226446
6238121.75149576,6237284.21767846,6189113.36695509,6235929.29604293,6293729.23344466,6329595.84658221,6286121.52339276,6331893.49229377,6269231.82315254,6263431.59839451
6251901.22128948,6235328.61194338,6191864.78619994,6287772.77167472,6293581.13940956,6328494.65672529,6296523.33712386,6362234.23975889,6342932.37290522,6248794.89781532
6220083.43054638,6240802.15499562,6209048.18518123,6311810.48195761,6294413.1161964,6331433.38224294,6259169.48815029,6374550.31669962,6371291.77440991,6235807.16197751
6260948.8202989,6256343.02215421,6251833.96478184,6325002.1074166,6280159.32609333,6348121.16161292,6271416.87812554,6389724.97605953,6368305.88409193,6242976.83141363
6266678.83586066,6266341.88068093,6248772.32859545,6323677.54251249,6292339.7532588,6348867.82314278,6309322.06704526,6384955.92945905,6393583.17472905,6267158.36264293
6265559.06048935,6295168.87341743,6271094.94849735,6326323.1319963,6299679.88598944,6345565.81915453,6310794.5702352,6384955.92945905,6334194.66299792,6307512.15748911
6272324.67317604,6409262.4363439,6261483.86490908,6343362.02083936,6320386.00449379,6345006.26307576,6309693.28214364,6387319.43016604,6331311.78732626,6309098.79628773
6281574.27740954,6409253.68681727,6265325.76845557,6343783.97438158,6320511.6217264,6348745.79805055,6310678.25992872,6387319.43016604,6338165.07332915,6305804.43320593
6283892.71709871,6385089.95767384,6280329.23806444,6338274.05243426,6322613.64098568,6352090.15266095,6335794.09740911,6393544.51066352,6359944.35168413,6302458.51809254
6273240.66473408,6379210.78827171,6289790.46965498,6337875.07885961,6361997.26324583,6357902.73949276,6335169.3949642,6392958.38302811,6341020.05182434,6300273.35434908
6284230.85690309,6381838.99725383,6293210.42086425,6362181.98003552,6358597.35240247,6355247.16057205,6330697.59569382,6392958.38302811,6352707.52811123,6322674.77099219
6303130.29763415,6400217.43407288,6296216.98738575,6364283.07396039,6358597.35240247,6355924.04689416,6339916.0174929,6392926.98150353,6353261.13165117,6335316.03755575
6303649.38675276,6400217.43407288,6294729.52986012,6359700.82961976,6357044.40165494,6359313.17532786,6352891.26676884,6391791.0838267,6349573.82633026,6334003.06338465
6307188.60608606,6397957.11868224,6294348.09569828,6341410.52710471,6333261.43065699,6349279.58866046,6355254.80961687,6406884.97447319,6364929.35376409,6334003.06338465
6311185.52797414,6397957.11868224,6296945.01570408,6342892.89706437,6335993.85366689,6349551.37014682,6351535.47772655,6410508.00319422,6387823.09970384,6352612.18935175
6309179.73506295,6397957.11868224,6315446.68069354,6356727.41714566,6338802.2734891,6353803.96933537,6350427.04920871,6410508.00319422,6389798.11813009,6352612.18935175
6306340.86686152,6398149.59707963,6324874.45712777,6366203.47184459,6349285.155814,6348248.86737278,6370179.95810589,6397209.1757509,6431161.28280237,6393308.12916321
6311568.44027635,6398149.59707963,6324874.45712777,6366203.47184459,6361770.16808052,6348248.86737278,6371266.23116992,6392453.58925105,6431372.38772457,6392483.95497775
6313310.21816353,6426159.13776039,6328400.34309406,6368698.02566829,6362112.29163995,6351701.48238817,6400031.70931076,6392453.58925105,6434176.43975815,6400880.98920668
6313039.19802655,6433413.62979686,6334704.50829559,6368785.8815674,6364693.57163,6350255.48186193,6393169.74453058,6396039.72300674,6445084.39230545,6413804.23684018
6313039.19802655,6431092.38713135,6334195.67143827,6378064.12610198,6359797.94781375,6353728.87706385,6413527.15231614,6399787.92757624,6458367.22357616,6413804.23684018
6313039.19802655,6478631.61335441,6334195.67143827,6378064.12610198,6370050.89729366,6352819.5300621,6415568.64568824,6399787.92757624,6457247.46190174,6408438.70449883
6313072.29125017,6477090.99771853,6334195.67143827,6390224.11467461,6372001.74322782,6352638.97402016,6433962.43755126,6402932.72782498,6455658.23272857,6406754.08339825
6314206.14334869,6468457.6279656,6334491.90342383,6383416.1603957,6375690.58245435,6354551.19187349,6450163.62995338,6438330.84602896,6447058.22471768,6406754.08339825
6313908.4082166,6468457.6279656,6333987.29399178,6382112.37546684,6393346.82104492,6356122.86955513,6450163.62995338,6449858.99268875,6422274.61345373,6404539.75093402
6318333.79565956,6467160.46985189,6337048.55065148,6389060.51974027,6393346.82104492,6372269.70180562,6485921.17717316,6450542.97294493,6424663.44121087,6405635.12583061
6318469.3273216,6465795.94931742,6334844.05386264,6389060.51974027,6389734.35226684,6407076.37353796,6485921.17717316,6453526.32832926,6424419.59126512,6405635.12583061
6326577.13699509,6471621.57693257,6334567.99204772,6390876.26899674,6392724.27532448,6408802.53603431,6512912.9134269,6438184.64967895,6422485.03238092,6405635.12583061
6338444.24572784,6472503.17244989,6341388.84238012,6390876.26899674,6390716.5936245,6389319.17527888,6499966.28393031,6440189.23557238,6428757.12326757,6405635.12583061
6343464.25453598,6475143.84175167,6341388.84238012,6390876.26899674,6388129.99093057,6391479.84426442,6499966.28393031,6440189.23557238,6428757.12326757,6405635.12583061
6348045.16304523,6483785.67170624,6342783.86211486,6390876.26899674,6392705.91568222,6391479.84426442,6495071.52680071,6440055.48281088,6428534.67385339,6412952.08780374
6348045.16304523,6483449.70967142,6343928.21228242,6393178.87001134,6392705.91568222,6391479.84426442,6514027.9834335,6440050.46947215,6429628.63627526,6398479.88083015
6354788.88112807,6483160.35383601,6344101.3737851,6406219.64996836,6392705.91568222,6394331.13140413,6514027.9834335,6467182.85466951,6429628.63627526,6398331.45928361
6356310.37743646,6491944.40766819,6343446.03361432,6421021.27823015,6392638.83967349,6394331.13140413,6510499.69066256,6466003.82199718,6429628.63627526,6414930.57878058
6355627.50507935,6491944.40766819,6347619.75623271,6423307.24040224,6393099.27416317,6388172.87659158,6510499.69066256,6466388.28002617,6429628.63627526,6414930.57878058
6355627.50507935,6494261.66396151,6346989.02707503,6423307.24040224,6390605.38878896,6388015.00995193,6510499.69066256,6466680.2686861,6429628.63627526,6414930.57878058
6354989.74446825,6534343.90461271,6346945.82896565,6424449.72767933,6391220.52292878,6388652.14062878,6510443.65481401,6466680.2686861,6426168.0924845,6414930.57878058
