"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3866758.07904196,3886535.44195502,4068490.45126285,4140352.2476409,3951256.7060619,3913586.3568346,3952943.84085952,3804789.05931555,3838520.28724027,3983351.20787738
4335253.51804708,4639353.07351046,4316356.41690842,4765451.34235283,4365093.21779515,4591894.30294708,4538106.79183128,4631155.16891372,4743728.91056774,4321413.51360678
4800412.74893642,4745864.37730553,4999130.85759908,4880532.14322944,4726271.37290578,4751877.96027876,4794655.43446126,4980207.69348271,5021332.68652749,4701113.9333844
4915589.33443432,5053068.46207566,5222859.25058368,4973183.44372021,4905044.59287706,4948743.99670773,5107543.96464736,5145287.36647236,5328887.78665931,4835374.66741513
5040240.91165014,5461358.13636436,5483541.46915433,4965874.96697278,5138012.83797505,5181163.64850408,5239370.44196053,5346304.029356,5354595.82333734,5312733.17736406
5138458.06578934,5467831.31765523,5505918.52115995,5042743.70544234,5170589.99280451,5424338.77579423,5339772.13376973,5504702.84861168,5440090.07602131,5347800.94279529
5311000.7113758,5463951.57113651,5535530.78477605,5143560.34925431,5364821.46471359,5464529.88900371,5604348.99027173,5526632.6304129,5478781.52194438,5411211.24034846
5419691.55030769,5643954.57773001,5520134.92924327,5267010.94271408,5535379.46783453,5547186.03240368,5718993.32402797,5543647.88760657,5524398.92785725,5503470.78297957
5547616.48315014,5649293.04699459,5518483.48722686,5354468.4770217,5544470.45379632,5648205.73672884,5782672.21974355,5545500.94589983,5520026.37847217,5745377.91439574
5540427.66157809,5653858.83288425,5686127.79676615,5710450.3184843,5791589.30644172,5642454.13646669,5777664.00562114,5564855.50633372,5520136.7656849,5767186.02538586
5604473.90651595,5665964.8086667,5800507.49158067,5713735.27069743,5791483.72460276,5657126.39540868,5853296.01837573,5575270.9027912,5515593.94943434,5794766.59881819
5608702.62360346,5716107.79391238,5799772.20687706,5718887.99945209,5811729.69954921,5659092.65861003,5852223.78285907,5577148.62747937,5622440.63967252,5804903.00005126
5771310.83050025,5728823.94194815,5802528.82830685,5720590.93009684,5808410.83563613,5676252.38966909,5847081.30993418,5604306.09124283,5683497.28548985,5804903.00005126
5771310.83050025,5738035.58298663,5809656.95140477,5720488.95474775,5806164.67397971,5675762.02348006,5854809.05815821,5621797.70112178,5693775.70704736,5811596.41124782
5778619.91491142,5737413.20296164,5815770.50507586,5755056.83617924,5851539.05704944,5678125.85927414,5915109.67600956,5621797.70112178,5693775.70704736,5811729.24837173
5809946.16120218,5745933.31348485,5814877.50657377,5757858.16428581,5848338.85180063,5712147.38522302,5912848.16049337,5628474.12329108,5748963.62473208,5811729.24837173
5825350.72650112,5745933.31348485,5837343.3036401,5768956.83248319,5889391.58844616,5717207.18729301,5910848.78241306,5628474.12329108,5748963.62473208,5812746.82321487
5824866.03807721,5815549.93102473,5847747.46484504,5791217.90066183,5894357.81604266,5840624.64783767,5910636.8863257,5755751.56455814,5748963.62473208,5869973.61383921
5824866.03807721,5841194.68800426,5921591.61813075,5789459.00728735,5887635.68963506,5878595.23145335,5910500.24938361,5756086.49079408,5742429.89666402,5869499.58674498
6064048.61733736,5841194.68800426,5917967.45784956,5789364.03328985,5889168.1156652,5870847.23898971,5910500.24938361,5751048.45832628,5742429.89666402,5915130.28118853
6064048.61733736,5841194.68800426,5955235.07315232,5789311.77544969,5889168.1156652,5870478.43396653,5910476.4864375,5761439.00160503,5739583.89429779,5919508.00201334
6060331.32371981,5841194.68800426,5940577.09542787,5821343.93143657,5892098.39551161,5876735.24821698,5910476.4864375,5761439.00160503,5735670.03497359,5919508.00201334
6058060.04007945,5925738.35859052,5940394.19668612,5823956.4592251,5913324.67180228,5885120.1596087,5910476.4864375,5761439.00160503,5770734.87056214,5929570.07341405
6061073.68085107,5925738.35859052,5933840.22743723,5823956.4592251,5913324.67180228,5940515.29742179,5910359.45546011,5759066.6391045,5755235.78215965,5927711.07046613
6061073.68085107,5925282.15290882,5933799.43276767,5823200.96894296,5913185.26970438,5940515.29742179,5916196.28646672,5791396.13594377,5843534.71577493,5927711.07046613
6060797.02659435,5925282.15290882,5935892.2722175,5823200.96894296,5916568.657924,5932694.75134518,5916196.28646672,5814287.92803685,5874382.52227949,5927711.07046613
6060266.30047019,5919344.55277039,5940280.58153808,5823200.96894296,5935677.37832002,5939555.47878539,5916196.28646672,5814092.00366917,5875433.77107626,5927711.07046613
6080972.80863466,5930902.76020571,5947599.53244552,5823200.96894296,5935677.37832002,5941701.50519106,5916196.28646672,5826689.67523246,5871896.81961475,5924595.89903674
6080785.56080321,5928648.15265744,5950833.16032022,5823200.96894296,5919314.72140565,5941701.50519106,5926477.6403725,5844823.23598284,5871896.81961475,5944273.16986849
6094173.0432972,5928648.15265744,5957389.0133472,5823200.96894296,5919314.72140565,5941701.50519106,5929310.36421245,5844823.23598284,5871896.81961475,5943177.65315188
6094173.0432972,5979106.51271337,5957389.0133472,5822350.66100946,5919314.72140565,5929451.30696439,5980686.25891271,5896183.80160974,5871294.20165011,5943003.19421344
6094173.0432972,5982925.91650673,5960728.20102905,5822350.66100946,5919383.54291042,5927704.17627862,5980209.63872779,5876332.21175126,5871253.01341253,5951261.94876247
6094025.70627791,5982925.91650673,6013433.892739,5822350.66100946,5919383.54291042,5929069.58521349,5978851.93227147,5948221.07130034,5874099.74484102,5951261.94876247
6102510.45048323,5982925.91650673,6013433.892739,5822350.66100946,5919383.54291042,5929069.58521349,5978851.93227147,5948221.07130034,5882579.32092873,5951261.94876247
6102092.25430596,5982925.91650673,6013433.892739,5822350.66100946,5919383.54291042,5933059.11464284,5968746.17720346,6033969.11789243,5882579.32092873,5951261.94876247
6102092.25430596,5982925.91650673,6013433.892739,5822350.66100946,5950406.12524591,5933052.97622186,5968746.17720346,6021593.01907135,5882579.32092873,5951261.94876247
6103581.1344734,5982925.91650673,6013433.892739,5822350.66100946,5950406.12524591,5933052.97622186,5968643.99852252,6055454.80784518,5882579.32092873,5951261.94876247
6103581.1344734,5982925.91650673,6013433.892739,5822350.66100946,5950406.12524591,5933052.97622186,5968643.99852252,6130903.58231151,5901884.44501869,5951261.94876247
6103234.54725731,5982925.91650673,6013433.892739,5824861.89396156,5953586.45505843,5931832.97567501,5985622.7559012,6130259.70010787,5918389.20490542,5967683.47614433
6104678.30360456,5982925.91650673,6013433.892739,5824861.89396156,5971029.55854886,5931832.97567501,6095306.90559755,6130259.70010787,5917167.72301957,5967683.47614433
6104678.30360456,5982925.91650673,6013433.892739,5841684.0460356,5979843.64406765,5931832.97567501,6091628.93014536,6145567.67490141,5917167.72301957,5967683.47614433
6112851.73153082,5982925.91650673,6013433.892739,5841684.0460356,5979843.64406765,5932383.9917094,6090300.41941177,6145567.67490141,5918683.79147406,5977553.44946985
6112966.87532664,5982925.91650673,6013433.892739,5862832.13482615,5979843.64406765,5932362.75607215,6090300.41941177,6145567.67490141,5913972.91843135,5977553.44946985
6112966.87532664,5982925.91650673,6013433.892739,5862231.13854682,5979843.64406765,5932362.75607215,6089434.87580117,6145567.67490141,5913843.9538114,5977553.44946985
6112178.43453415,5982925.91650673,6005591.00748159,5862231.13854682,5979843.64406765,5932362.75607215,6089434.87580117,6145567.67490141,5913279.33342568,5981690.53631599
6114121.71876231,5989031.56626149,6005565.15959495,5887659.16840967,5979843.64406765,5929504.00344844,6086933.11959364,6155117.06569367,5912757.7546346,5996050.50782295
6113822.27564182,5987096.68008425,6005547.44056751,5887659.16840967,6021663.65662305,5929504.00344844,6144880.73684802,6155117.06569367,5912757.7546346,5996050.50782295
6113822.27564182,5987096.68008425,6005547.44056751,5887659.16840967,6021663.65662305,5929504.00344844,6144880.73684802,6155117.06569367,5912757.7546346,5996050.50782295
6113822.27564182,5987096.68008425,6005547.44056751,5887659.16840967,6172805.84053528,5929183.10354562,6144114.40842714,6155117.06569367,5912757.7546346,5996050.50782295
6113822.27564182,5987096.68008425,6005547.44056751,5887659.16840967,6172805.84053528,5929183.10354562,6144114.40842714,6155117.06569367,5975452.23058072,5996050.50782295
6113822.27564182,5987096.68008425,6005547.44056751,5887156.26482734,6172805.84053528,5928765.80065503,6148859.88906533,6154769.50562305,5975452.23058072,5996050.50782295
6121458.89298522,5987096.68008425,6010155.68876342,5887156.26482734,6192660.51885705,5963185.93521964,6148859.88906533,6160810.03127074,5981660.70811817,5996050.50782295
6121458.89298522,5987096.68008425,6010155.68876342,5887156.26482734,6192660.51885705,5963185.93521964,6148859.88906533,6160810.03127074,5981660.70811817,5996050.50782295
6121458.89298522,5987096.68008425,6010155.68876342,6017900.46833709,6192495.61331614,5963185.93521964,6151538.19401038,6160810.03127074,5981660.70811817,5996050.50782295
6121458.89298522,5987096.68008425,6010155.68876342,6017900.46833709,6192495.61331614,5963185.93521964,6151538.19401038,6160810.03127074,5981660.70811817,5996050.50782295
6121458.89298522,5987096.68008425,6010155.68876342,6017900.46833709,6192495.61331614,5963185.93521964,6151538.19401038,6148115.01419871,5981660.70811817,5996050.50782295
6125962.4839936,5987096.68008425,6009314.74739658,6017900.46833709,6192495.61331614,5963185.93521964,6151538.19401038,6148115.01419871,5981660.70811817,6027061.00907082
6160764.50892613,5987096.68008425,6008987.79874177,6017900.46833709,6195175.37305236,5963391.55005985,6151538.19401038,6218684.29902758,5981660.70811817,6027061.00907082
6158687.71146289,5987096.68008425,6008987.79874177,6017900.46833709,6195175.37305236,5963391.55005985,6151538.19401038,6218684.29902758,5981660.70811817,6027061.00907082
6157955.13142314,5987096.68008425,6026926.58439719,6017900.46833709,6195175.37305236,5963391.55005985,6150868.44870442,6217912.48253592,5983359.14812449,6034788.82235774
6157955.13142314,5987096.68008425,6040626.84761696,6017900.46833709,6193198.76602333,5963391.55005985,6150868.44870442,6217912.48253592,6037275.94020164,6034788.82235774
6157356.07487902,5987096.68008425,6040626.84761696,6017900.46833709,6191416.23233388,5971583.27477353,6150868.44870442,6217912.48253592,6037275.94020164,6034788.82235774
6157356.07487902,5987096.68008425,6044115.95346572,6017900.46833709,6191416.23233388,5970372.25342129,6150868.44870442,6217912.48253592,6037275.94020164,6033745.72828285
6157356.07487902,5987096.68008425,6044115.95346572,6017900.46833709,6191416.23233388,5970372.25342129,6150344.12954395,6217912.48253592,6035059.36481217,6033745.72828285
6157356.07487902,5987096.68008425,6044115.95346572,6017900.46833709,6197774.48437824,5970372.25342129,6150344.12954395,6217912.48253592,6035059.36481217,6033745.72828285
6172940.56639339,5987096.68008425,6044115.95346572,6077048.29881936,6197493.99611053,5970372.25342129,6150344.12954395,6211659.68500339,6040489.06103385,6078987.45736983
6172940.56639339,5987096.68008425,6044115.95346572,6077048.29881936,6197493.99611053,5970372.25342129,6150344.12954395,6211659.68500339,6040489.06103385,6073276.81066232
6172940.56639339,5987096.68008425,6044115.95346572,6077048.29881936,6266462.60542866,5976779.76109018,6150344.12954395,6211659.68500339,6040489.06103385,6073276.81066232
6172940.56639339,5987096.68008425,6044115.95346572,6077048.29881936,6264334.36655159,5977622.70734335,6150344.12954395,6211659.68500339,6040489.06103385,6073276.81066232
6172940.56639339,5987096.68008425,6044115.95346572,6079926.45377203,6264334.36655159,5977622.70734335,6152521.46757993,6211659.68500339,6049672.45203426,6073276.81066232
6236790.13345409,5987096.68008425,6040362.67003999,6079926.45377203,6270157.32255199,5977622.70734335,6152521.46757993,6211659.68500339,6049672.45203426,6087971.4703506
6236790.13345409,5987096.68008425,6043268.800875,6079926.45377203,6270157.32255199,5984658.55103754,6152521.46757993,6211659.68500339,6049672.45203426,6088427.9164296
6236790.13345409,5987096.68008425,6043268.800875,6079926.45377203,6270157.32255199,5985347.58149961,6152521.46757993,6210692.47672997,6049672.45203426,6088201.27872414
6236790.13345409,5987096.68008425,6043268.800875,6079926.45377203,6270157.32255199,5984799.89989163,6159154.09021793,6210692.47672997,6050950.11932077,6088201.27872414
6236790.13345409,5987096.68008425,6043268.800875,6080422.00184412,6270157.32255199,5984773.50287427,6159154.09021793,6210692.47672997,6050950.11932077,6088201.27872414
6236790.13345409,5987096.68008425,6043268.800875,6080422.00184412,6270064.32481863,5984773.50287427,6159154.09021793,6210692.47672997,6112111.20628143,6088201.27872414
