"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3489449.51736979,3550829.18813887,3527167.14267394,3620532.38774071,3523282.54040678,3502909.61427325,3446682.3530456,3686201.88276142,3546000.22500866,3514598.67355256
3836525.54114481,3890193.93490114,3893542.94752071,3962482.88317154,3874384.31855719,3796501.69699074,3816108.91331365,4024021.87206587,3898644.93518044,3770502.7391651
4150953.57300351,4124971.55780889,4154611.19505344,4057643.40611433,4076361.61510481,4232625.39173143,4003138.82357622,4217364.59265546,3991580.41141314,4019619.63945839
4317309.61588098,4340962.81715457,4270585.83301051,4175423.67525352,4192955.27855258,4318694.01278825,4247804.42665669,4410832.7553811,4152800.77137798,4260634.35312623
4474930.37932635,4599645.67383623,4314764.53154506,4254597.78494709,4336652.79155231,4462770.82193299,4436498.72461588,4506946.84427115,4241034.77408158,4422755.04286068
4507900.88357968,4673412.62520367,4381881.28999521,4540321.55509593,4422619.95256026,4485824.98607798,4500232.59145543,4601933.74878652,4381569.13253319,4456751.5537182
4526951.68721323,4738128.29152834,4485249.94749448,4585761.2708312,4533558.07454235,4533148.63467685,4570689.45101673,4646146.62493413,4483710.16659362,4520765.68512176
4547469.65429722,4827140.39865258,4664345.83727342,4710366.73486813,4612127.99659257,4735765.32661583,4618481.51944659,4672271.43759659,4543054.87992849,4674496.10450009
4575901.83170532,4923894.99239131,4702841.14111088,4830338.17014514,4738673.27363927,4803753.3368872,4652827.59134849,4803145.21413123,4681870.65281578,4753134.09747502
4654374.7351875,4903760.23079177,4713260.04890466,4910034.13410645,4779227.93152441,4816204.7438874,4734103.77022151,4920696.84995092,4723577.89326328,4862114.78475429
4708459.02127343,4927557.30876953,4777036.68542341,4996676.38239385,4798289.33805993,4923272.84293126,4797713.73841997,5026736.33564388,4837704.15508548,4907903.82882862
4771070.54070325,4952927.84551397,4823773.47819844,5005527.21134384,4845562.6437554,4935201.32947978,4810292.06097676,5073079.20936897,4913466.84436555,4944341.0640928
4795226.01161963,4990046.055807,4873115.51866432,5035861.770128,4859763.11281141,4991385.35060311,4830916.57234281,5096288.32683082,4910255.91278719,4960936.44928676
4790115.8778433,5012782.68705954,4896691.79340316,5059916.66795475,4961579.47581735,5123406.04462957,4857585.59960366,5109249.88666996,4925067.78073828,4968459.80854475
4795225.40794039,5058595.63281067,4956943.46511236,5312247.95809669,4984373.04537959,5286053.1964718,4879913.75303518,5114995.05608885,4971666.81067678,4990679.42569374
4847659.77920427,5053630.40275437,4897900.81458153,5487751.79744428,5013469.73418016,5287971.49342672,4945925.16940156,5117221.91392204,4969422.25966003,5015587.95099852
4857228.47040705,5127289.53360199,4896024.28119731,5481222.95843653,5021140.86307654,5323477.14000629,4996679.93387256,5202524.55036525,4976304.86756731,5040361.68128173
4868288.31284101,5127803.12011442,4984702.71826238,5507854.6242878,5081271.60684011,5345554.38602215,5008405.75195954,5254765.11490762,4981852.85023465,5173719.62484758
4886686.32413407,5172185.08263857,5002909.00193421,5508068.75569486,5092565.13276855,5349915.83428659,5015081.87923112,5266002.10006296,5004883.79429218,5146140.22989317
4898254.07405633,5175286.64604128,5032219.4955605,5516170.79713495,5114483.26088029,5352756.11883666,5021970.85526626,5264759.13375519,5007970.60346349,5154611.52817491
4926933.6602714,5199929.74591054,5036865.27586148,5536818.59277638,5121137.56909403,5350327.40427194,5062423.14780949,5272330.02006079,5017596.21735068,5183433.01289864
5043757.84427351,5257332.79485163,5065480.63480053,5582537.16737257,5141968.88763635,5343772.83095244,5074081.53970303,5272788.51704371,5019800.9897293,5191716.12986861
5065745.66532377,5285982.06829132,5073586.36165153,5581449.30886553,5144639.0807329,5361685.15996763,5181971.70600083,5279027.32385834,5061785.2459111,5191143.5625158
5082378.77362032,5327074.34244993,5083649.84300549,5577308.65421866,5146497.87883144,5364301.24804015,5230676.30971253,5283108.51464687,5063312.40319882,5200265.85607481
5088880.34536772,5326235.23764129,5111896.01992446,5589143.0339974,5148913.13624983,5365492.53713562,5248838.37556168,5285332.85848026,5117104.51835106,5202900.29189821
5097186.9585286,5333574.36340541,5116747.71829705,5591993.02224105,5149448.46786138,5370466.98470448,5248764.81821438,5306674.13166429,5117632.14697245,5255112.93843041
5104776.25458092,5332916.51686471,5124786.18807926,5576167.80687866,5153227.56585508,5392122.64776208,5265065.21695735,5351383.34481835,5123691.4385402,5425292.54380174
5146912.02781446,5377430.21853845,5128922.37738667,5573476.11427832,5153919.47482622,5392365.8735018,5265867.42599341,5355411.10996463,5139582.07156375,5394295.114031
5170658.50379201,5444202.66887388,5167488.46724264,5577580.87511081,5157565.74462609,5394197.03342465,5313081.35721171,5390214.30023123,5146188.73452893,5452273.29989914
5183943.74352001,5447708.32329956,5170327.03062027,5594773.5279348,5180194.46794087,5420569.93979211,5317186.30097894,5386001.7421002,5208238.80801958,5453291.98397488
5292503.61519194,5450230.30833764,5172485.6222615,5595233.35000923,5224624.15569339,5421430.42345499,5335474.11957208,5386001.7421002,5218813.6282089,5510918.97402727
5401259.57658535,5495521.87687135,5254067.5092577,5594520.60057915,5268983.52207717,5430116.32347558,5346754.93764752,5409546.83748865,5218580.36860242,5513325.67132992
5409595.30647656,5512921.7821244,5258764.51063554,5591525.6720714,5273792.59033823,5438423.65661505,5354031.52007833,5410048.54188264,5225364.26195617,5516420.74732875
5401600.44312556,5519664.0810552,5364197.24991237,5593050.49245108,5276356.78297603,5445112.78157812,5359561.33367874,5414495.3996106,5239319.44028949,5546888.49060614
5436968.35174148,5521183.96958987,5364487.86122987,5583668.96890232,5290049.75729768,5445112.78157812,5388448.68269992,5414986.68567733,5241529.15771405,5546776.30156207
5461822.13602943,5520894.20783572,5363900.74534005,5584761.01926451,5290732.61919372,5468689.84751139,5397334.50865943,5430341.84788632,5241519.06558898,5545651.27517374
5465849.34319091,5516757.28897203,5371143.36823886,5665446.03626486,5297180.18472677,5571032.64637191,5443307.81142591,5431929.75054788,5243006.64085652,5544878.09545815
5463380.56592669,5517839.53796209,5396412.41996265,5664907.3885707,5299632.2914365,5602786.50210672,5442669.77756533,5499712.46631842,5242106.22343021,5543624.64781965
5490772.39552298,5529749.90561415,5396408.46668646,5718725.79010062,5309230.36812668,5604479.67045769,5444889.99174744,5500971.13568968,5244895.41206902,5545842.49329762
5520156.49196627,5566152.51641275,5400285.0702076,5827798.90029684,5315535.72393268,5603155.17263358,5496718.3517046,5503418.8005221,5276490.9117197,5545512.85550382
5518437.583898,5569109.38975199,5404493.18950221,5828613.37749062,5328745.45351567,5602435.62069365,5611479.23008961,5504393.46520524,5280007.16923654,5544413.91328725
5542687.52674016,5569455.8918988,5408085.576937,5832681.98899981,5328440.07778123,5602435.62069365,5620583.47081209,5505968.27033467,5279970.38796265,5556229.86127926
5547009.14677162,5582251.95521925,5432653.70414154,5833464.51566422,5331195.74659873,5602435.62069365,5621383.50942293,5505829.65031737,5279651.51157913,5553282.11603515
5549471.00235103,5587055.85155837,5432767.40723226,5831859.81350057,5356588.39192305,5606572.91442129,5629081.16373607,5505829.65031737,5280449.4917098,5556802.96797949
5547861.41811348,5588029.05365157,5435931.39167902,5831859.81350057,5358880.39078821,5606572.91442129,5628757.84962811,5509116.75127953,5323706.55531015,5560325.55579595
