"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3943133.05099963,4070525.3473364,3844690.66067198,3856463.32711849,3857071.78026897,3974701.04821553,3759264.52478561,3884514.46293717,3939421.81240145,3830660.9086746
4303308.34402944,4351487.48035478,4227980.9702478,4298708.85762112,4273688.48963758,4280691.87534922,4148901.88910232,4207633.4854146,4319751.94306969,4150700.41881962
4562180.80060506,4650178.36882906,4536668.24783996,4612429.84979764,4580532.78822689,4531377.94056438,4394586.2894115,4407233.77437478,4449529.58675333,4532649.50424637
4668428.83413521,4759990.78589233,4718064.85616699,4692888.5047296,4673009.96173232,4828768.96239,4645748.22369701,4573386.29805501,4565135.6375142,4714640.13725465
4913285.14352757,4986053.87997713,4903642.8850802,4868381.48636062,4855921.18676342,5028196.44497225,4830434.78697077,4716503.06174786,4664833.96448262,4888976.58388884
4926094.72984757,5082085.33700263,5126082.47155945,4989579.48196818,4929191.75510855,5113377.55688035,4980857.53942269,4785951.86882832,4780694.95234049,5005615.99411536
5049713.12148769,5255447.97847812,5263370.48459662,5042551.1145446,5014629.87915896,5241719.93370566,5143112.0077219,4851444.00710978,4878262.1011736,5116908.86121525
5311269.94172298,5347763.2832436,5278759.60093366,5058404.50939645,5091600.00669597,5437145.33479244,5378598.24407533,4919748.5046537,4957898.46256585,5217086.46484941
5442236.21638697,5368891.6532774,5314638.60785329,5176366.10936959,5245451.73338081,5489525.24791646,5434156.13893756,4990568.62829869,5058841.68264563,5229172.19723238
5484410.70924538,5374525.47068622,5333281.03235334,5269070.54816152,5352950.18151163,5522704.22337086,5520290.27438927,5074270.2353894,5151846.97742932,5246592.14280212
5497083.62090606,5397779.98617405,5333340.19196345,5315727.12346783,5500353.91362035,5586137.16832863,5590368.23048813,5146285.68598302,5226402.33105901,5332694.30427144
5533276.07508416,5519882.33341372,5328616.02036016,5329346.8376602,5528871.46295057,5591883.52795624,5607494.96206182,5208780.54565167,5273331.07957304,5377446.32497655
5538155.11159792,5535031.21654486,5375494.48938266,5418522.75710436,5735824.46152642,5584680.13734517,5613978.32716242,5206727.48841113,5287958.83840715,5407786.93301436
5538638.49260242,5623898.90965888,5580419.53666375,5430028.57160214,5783448.84142266,5591087.83255918,5617598.30896962,5210641.18958285,5296607.55809462,5427750.45206037
