"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
4289353.17792911,4218033.91738881,4226735.10662904,4240136.90972575,4168155.97400789,4239400.83423287,4269987.52387024,4138463.96450099,4336325.69714578,4140960.50440793
4169640.71945046,4071287.5891296,4252993.33994338,4218327.27410884,4140017.79462722,4206270.36238828,4241234.64249677,4018150.19253367,4302410.95964998,4061405.57693558
4195987.64399125,4155076.5573721,4137057.6977867,4219388.75726088,4191302.75180695,4070874.12260406,4161595.0270066,4021521.98633189,4209118.44264677,3988544.50660909
4147640.4070896,4151270.52312939,4168424.93518347,4176358.12813743,4136068.34078981,4091588.71356752,4170415.40199303,4074228.69759805,4256363.55538573,4145883.88941864
4132867.11420171,4161433.5624469,4183192.86036224,4163426.28272942,4127165.41187152,4071951.3707274,4158619.69614099,4156025.98267635,4274263.14695972,4159209.28499603
4164689.68674572,4139817.5402931,4159731.5252245,4176197.16206402,4162828.79494773,4096173.45750352,4204405.60868736,4148672.99998748,4242747.03599985,4215595.74309744
4202131.43854881,4170164.09022849,4166918.09371704,4162327.10729041,4185984.59508379,4154774.2751242,4175463.84162226,4123226.41506279,4214011.73768429,4209825.79747547
4208045.20685708,4174531.46844128,4196961.11097126,4169807.20599062,4155012.23120618,4137206.29568951,4203005.1001792,4166245.36668892,4242860.55115857,4209694.21641653
4213356.28319154,4178874.18262207,4201757.37663641,4162879.34778788,4157055.19358919,4136373.65622288,4222709.99039096,4184023.81483464,4233703.86391067,4202203.30881861
4216587.53945893,4163650.92901917,4228789.72543377,4172982.41063996,4224215.90443105,4142100.27552768,4234901.50694241,4184392.42269687,4249995.50022312,4204265.20594461
4226979.48677947,4196467.51631683,4222965.19002951,4171575.26818225,4213281.93109196,4147361.15915166,4225410.1335159,4187148.01458534,4240103.29971662,4196995.41681225
4231644.35241153,4205963.95920896,4263323.38713217,4193176.16630853,4213107.3260457,4161336.88394783,4235375.80042357,4186496.65290591,4220291.1890534,4230938.91172465
4237339.22241927,4207895.43175729,4255433.8666874,4209288.54750451,4213107.3260457,4182776.63120024,4237022.28698499,4187445.18696124,4228404.79203616,4231706.30099927
4246901.8709282,4219668.22573508,4262629.46697355,4212179.18606259,4215369.11054426,4185638.92071406,4234695.40077954,4197491.74168147,4228404.79203616,4229225.30258209
4246445.12922267,4218661.10783628,4263660.30866655,4228511.7319807,4225713.95313669,4192809.04080392,4231946.69446457,4216935.26367662,4234817.28792265,4243453.78882352
4257225.09074276,4218514.23184526,4263660.30866655,4213978.43811593,4226172.52643562,4199858.83159643,4246710.0538894,4219268.88033065,4237659.31969508,4245238.62002564
4256929.57658216,4229227.98513136,4263080.0223222,4213372.10247703,4227507.32100653,4205214.76194644,4246869.97457761,4219782.14931534,4229893.14425344,4246029.42255929
4270119.11399515,4229180.09812261,4263021.49591855,4230265.29626059,4225771.53723752,4205215.61296833,4250480.16058519,4213369.94407812,4230698.07302819,4225620.7651498
4275209.54785123,4230984.69000654,4265686.13650109,4229874.95337492,4225844.31674117,4241650.65562086,4250836.95864488,4217602.39742802,4230103.52425032,4228405.05814085
4275901.00283802,4227950.89454995,4263975.58280111,4232890.74419881,4225844.31674117,4241650.65562086,4250836.95864488,4223995.71980973,4230103.52425032,4260087.0606085
4275478.14092662,4228212.76952244,4267282.00977247,4230821.29527732,4229798.25425454,4250995.34548516,4249761.60759722,4225409.38235585,4241675.33648192,4236224.46852172
4263927.03758261,4237109.00829585,4276746.65880846,4230821.29527732,4230478.6603438,4252204.19579246,4249761.60759722,4226165.3824527,4240603.58321318,4230671.10051079
4263927.03758261,4242717.84775874,4259147.28723531,4230340.67752012,4230478.6603438,4252393.89326963,4229352.49942101,4241555.11103312,4242749.27183276,4226817.00668033
4271661.3596414,4242717.84775874,4259147.28723531,4231649.5883244,4235969.13066385,4250298.39983414,4230936.15696636,4241707.26862637,4245102.96581591,4227417.4670391
4272150.64527797,4246125.2233875,4256375.68430893,4234414.83487934,4242146.50845082,4255653.66051567,4230857.86896544,4240822.20351236,4244763.6015737,4227417.4670391
4269935.46596178,4249232.59999217,4255056.29273165,4237616.23074115,4240494.25125578,4258114.68686026,4230857.86896544,4277929.93499102,4235319.17512567,4237450.00560801
4291361.5362138,4249232.59999217,4255056.29273165,4241896.34777679,4242325.0248144,4261598.49253213,4225438.37338754,4280345.40852854,4234636.81660268,4248732.05626998
4290409.68971267,4249157.85941381,4256862.14565359,4242140.4070316,4252857.4680522,4260244.60195982,4225184.97775968,4278860.7489717,4241024.30581241,4248355.96044479
4295744.97548913,4249157.85941381,4260325.01318867,4242791.83552881,4251318.10852855,4260244.60195982,4225184.97775968,4278767.99818477,4240690.18210092,4248355.96044479
4303193.53567582,4249157.85941381,4260325.01318867,4246137.33284458,4253339.797829,4266972.04644148,4227388.32313974,4289263.38917481,4241462.63784437,4258103.13644198
4318794.4623737,4247063.63019792,4260263.51891897,4246291.06487601,4253339.797829,4263765.10909327,4230286.82761301,4290255.71110786,4257928.78565762,4258395.25185936
4318794.4623737,4245443.39966262,4259092.79842266,4249877.42298725,4283089.04531557,4265716.67601671,4230505.40608795,4290384.07585242,4257717.22808842,4260281.64717043
4325352.77108573,4244071.99838072,4257996.53375301,4250543.15254107,4285495.61876414,4265716.67601671,4230488.83766521,4288948.29230464,4257717.22808842,4260281.64717043
4325574.47345644,4267774.79784647,4263043.57069287,4248738.79512325,4285495.61876414,4265716.67601671,4229045.37559925,4288677.64071011,4264411.53447218,4259771.49216083
4322151.50431243,4267774.79784647,4262515.5642637,4246380.28274104,4313816.1424116,4265716.67601671,4229045.37559925,4288284.52418063,4286188.70442793,4256874.73028144
4322151.50431243,4270236.02388296,4262515.5642637,4251322.95265458,4312292.73092762,4265716.67601671,4228489.60094209,4288086.32006544,4286188.70442793,4265730.66082741
4325009.91998493,4267692.40177824,4262515.5642637,4251322.95265458,4287376.55705688,4265716.67601671,4233872.80517546,4286977.36392416,4286188.70442793,4265730.66082741
4322364.71065347,4270253.75943979,4262515.5642637,4251102.1304761,4288179.89180245,4269168.18018776,4233872.80517546,4287176.62231289,4292011.92817154,4265730.66082741
4322364.71065347,4256424.3677756,4263971.01381608,4259244.92615173,4284524.56273281,4272629.30552925,4245905.19810391,4289420.58066362,4292510.67059379,4263975.01371309
4322364.71065347,4261859.12040771,4261674.39801074,4259244.92615173,4284483.57661856,4272629.30552925,4247693.53445474,4297131.69106352,4292510.67059379,4262543.22475607
4322364.71065347,4258207.9112191,4262053.26837742,4258457.48707596,4284483.57661856,4273125.28887012,4247837.86248116,4297113.53117606,4288087.85674832,4277253.29020823
4322364.71065347,4257834.61010434,4264616.29764327,4255719.5223525,4286894.98874397,4283795.61449939,4254130.81617986,4328855.15649888,4287200.21727167,4278116.50742404
4322364.71065347,4257279.06172693,4263814.6626624,4255705.62133895,4286894.98874397,4283429.1687065,4261485.1922611,4329138.66121402,4287200.21727167,4279507.60697314
4321260.97512868,4262171.67240674,4263814.6626624,4258739.03231336,4307984.45785975,4282001.53166274,4261049.33103422,4337001.81976721,4286697.0606126,4279625.66548034
4319988.6153098,4287522.29398939,4263814.6626624,4259000.29196559,4309206.98802162,4281179.87177319,4260997.7869283,4337001.81976721,4284239.36112072,4282281.97865373
4333897.49839682,4287522.29398939,4263814.6626624,4261170.67064185,4309065.8361789,4283023.50332189,4260745.3228616,4337846.67015204,4287974.59502598,4286899.60405036
4334201.45741096,4295489.07546116,4263814.6626624,4260860.83020369,4309566.30270577,4287093.05094373,4260745.3228616,4337677.81948783,4287974.59502598,4285148.6131168
4334015.3555286,4295489.07546116,4269486.73498473,4260450.4168295,4309427.9925526,4291365.36225497,4260745.3228616,4338740.35168715,4287974.59502598,4285148.6131168
4333910.73031745,4266362.79264438,4269486.73498473,4261792.20820554,4309427.9925526,4295248.28737569,4260745.3228616,4338396.96038005,4285518.69153182,4283360.94793368
4334803.35837724,4267063.26975382,4272658.18357936,4261792.20820554,4309427.9925526,4295248.28737569,4260745.3228616,4343155.40299995,4284637.53601545,4283360.94793368
4333828.31166269,4266378.2151963,4272658.18357936,4264209.66404025,4309519.47409138,4299271.6426866,4260745.3228616,4343044.99128022,4297753.08436708,4283101.60105435
4333688.01141842,4266378.2151963,4272658.18357936,4264209.66404025,4310064.58395604,4322179.0033811,4265163.41942204,4345496.46027107,4297753.08436708,4282613.44339185
4333457.51091273,4266378.2151963,4271805.9453802,4264704.16276455,4310064.58395604,4325173.70365548,4263634.63403948,4345496.46027107,4299086.40871634,4282613.44339185
4333377.33226806,4266378.2151963,4271805.9453802,4264973.66761287,4310064.58395604,4325173.70365548,4264782.45139881,4346489.14730208,4299693.20204566,4281823.13207487
4333347.5151927,4268171.04460738,4271805.9453802,4265425.66776676,4314103.76818426,4323481.20864326,4264782.45139881,4346983.41471132,4299510.99250223,4281823.13207487
4332898.85074062,4271262.25563229,4271761.10703437,4265308.24393774,4314103.76818426,4322887.05965527,4264782.45139881,4346983.41471132,4299259.4840848,4281823.13207487
4333656.48934738,4271840.86026797,4271761.10703437,4265308.24393774,4329004.31048107,4322830.85913419,4264782.45139881,4346898.50307082,4307893.92616108,4283504.29144711
4332936.74847484,4278595.71899925,4271761.10703437,4265116.58588109,4329004.31048107,4322830.85913419,4264661.59983039,4347144.42982344,4307893.92616108,4283101.91232142
4330934.40025206,4278744.6831157,4271761.10703437,4264993.87984741,4328866.3941481,4315307.33029467,4264661.59983039,4347144.42982344,4307893.92616108,4284751.21523254
4330934.40025206,4278744.6831157,4271761.10703437,4264162.5177423,4328866.3941481,4315787.89684335,4264661.59983039,4347144.42982344,4307224.8497393,4285485.97267298
4331679.09331162,4279362.15529604,4276518.47513929,4267919.42434177,4328866.3941481,4315787.89684335,4264661.59983039,4346254.76922532,4313781.68634037,4284874.47820641
4342042.82197229,4281394.42546924,4275906.63393167,4267919.42434177,4335924.22643242,4313685.43787231,4264475.44529611,4345289.81594351,4313781.68634037,4284874.47820641
4340701.14330229,4281394.42546924,4275906.63393167,4267721.50661255,4335924.22643242,4313858.40214634,4264475.44529611,4345289.81594351,4313781.68634037,4285300.53271483
4338709.09628035,4281394.42546924,4275335.24176413,4267721.50661255,4335924.22643242,4313428.34057995,4264475.44529611,4347067.8130449,4313781.68634037,4285300.53271483
4338709.09628035,4281394.42546924,4275335.24176413,4273021.77074196,4335924.22643242,4313902.91680216,4264628.43802163,4348302.35653277,4313781.68634037,4284697.02967283
4338709.09628035,4288676.54117474,4275886.35592034,4272186.25852246,4341138.83884965,4315335.24675895,4271569.37516109,4348302.35653277,4318127.9052403,4284697.02967283
4348450.82726377,4288531.48068831,4275886.35592034,4277449.09076523,4348424.53587249,4314149.91951399,4273402.00086334,4348445.89787136,4318127.9052403,4284641.40747725
4348066.49794338,4288531.48068831,4276668.52709751,4277449.09076523,4350648.12765307,4314104.49194661,4273402.00086334,4348291.81608567,4320804.88313069,4282643.75114999
4348066.49794338,4288361.20721243,4276668.52709751,4277738.71385799,4350623.96451777,4313554.31269648,4276306.71630612,4348291.81608567,4320804.88313069,4283197.45251103
4348721.70407031,4288210.87624759,4276668.52709751,4277738.71385799,4350157.30716578,4323982.16119241,4276306.71630612,4348943.05754818,4320732.40782728,4283164.58869843
4349299.97578567,4288210.87624759,4276668.52709751,4277738.71385799,4350157.30716578,4323900.7965443,4276306.71630612,4355722.95438303,4317989.86398237,4283164.58869843
4349834.80286568,4288210.87624759,4276668.52709751,4277738.71385799,4350157.30716578,4325832.26172413,4277765.7695035,4355722.95438303,4319724.21142028,4283164.58869843
4349834.80286568,4288152.55837653,4276515.4591615,4277738.71385799,4346558.05989386,4325832.26172413,4276320.12982014,4355722.95438303,4318954.35970841,4283644.93997866
4349834.80286568,4294595.74473085,4292766.77567884,4278837.15074036,4346434.06229022,4332578.0225237,4276310.85669259,4354438.35391279,4316272.62607565,4283644.93997866
4348851.5294884,4295844.80428901,4292766.77567884,4278837.15074036,4347087.083194,4332578.0225237,4277975.02148121,4354438.35391279,4312968.68590016,4283633.86994081
4348851.5294884,4295844.80428901,4294939.12012496,4279448.42679073,4347087.083194,4332578.0225237,4281394.36298685,4354438.35391279,4312968.68590016,4295467.86146197
4348599.83302445,4295632.36022954,4294939.12012496,4282122.11502693,4347087.083194,4332578.0225237,4281394.36298685,4354411.57715703,4312968.68590016,4295467.86146197
4348599.83302445,4296192.32113631,4294939.12012496,4282122.11502693,4347087.083194,4332480.10255782,4281394.36298685,4354411.57715703,4312968.68590016,4296520.46828418
4348599.83302445,4282270.74817524,4302219.02924921,4284296.43291498,4347087.083194,4331780.05318944,4280044.68288768,4355267.05260253,4312113.02291512,4296518.93578096
4350612.2541343,4287352.92650777,4308531.74871978,4284296.43291498,4347087.083194,4331780.05318944,4274840.86326578,4356077.23103684,4314051.5204917,4296518.93578096
4351624.04329585,4287471.43120935,4322715.31712619,4284004.38628471,4348664.99488186,4331556.25986768,4274815.75403315,4354309.04188657,4314051.5204917,4296741.08402915
4351624.04329585,4287471.43120935,4322715.31712619,4285370.57384798,4339941.39827854,4331556.25986768,4274815.75403315,4354603.61801013,4314051.5204917,4295839.78479632
4351624.04329585,4294135.2710152,4320183.55458551,4285370.57384798,4339941.39827854,4331556.25986768,4274368.22762465,4355553.54613027,4322715.45753923,4295690.35815107
4351624.04329585,4294135.2710152,4320183.55458551,4285370.57384798,4339699.53234386,4331556.25986768,4275106.33040329,4355553.54613027,4322715.45753923,4295690.35815107
4354258.53645629,4293711.94648244,4320183.55458551,4285370.57384798,4339699.53234386,4331556.25986768,4276636.87504262,4356117.79176109,4322864.28572111,4295690.35815107
4354258.53645629,4293171.35959264,4320542.17808186,4285441.33536196,4332787.75014902,4331579.39332998,4276552.75000562,4356062.02622001,4321777.17053579,4295690.35815107
4354258.53645629,4293171.35959264,4323965.58988498,4285441.33536196,4333836.19144456,4333655.05634791,4275435.39544374,4355814.3407944,4321777.17053579,4298183.66901833
4355288.06742335,4293171.35959264,4323965.58988498,4285153.62937936,4333836.19144456,4333655.05634791,4276730.95263631,4369382.06154483,4321777.17053579,4296485.51084917
4354940.21105282,4292929.7570537,4323965.58988498,4284924.2136812,4333836.19144456,4333655.05634791,4276730.95263631,4369382.06154483,4321777.17053579,4293412.59156229
4357222.33427617,4291973.01532686,4323965.58988498,4285371.66404615,4333836.19144456,4333655.05634791,4281736.64371628,4369382.06154483,4321777.17053579,4293412.59156229
4357222.33427617,4291973.01532686,4323965.58988498,4285371.66404615,4333836.19144456,4333655.05634791,4283727.88561326,4369382.06154483,4321777.17053579,4296735.92823308
4357478.36699936,4300154.21532035,4323965.58988498,4287616.09465377,4336059.19697504,4338190.42022288,4283727.88561326,4373115.96089529,4321777.17053579,4296735.92823308
4381552.07446585,4300154.21532035,4331699.69030649,4287358.29466063,4336059.19697504,4338190.42022288,4281297.67206609,4373115.96089529,4320891.53400758,4296735.92823308
4381552.07446585,4300365.42194104,4331699.69030649,4287358.29466063,4335591.98766706,4339736.79581201,4285011.48633829,4374668.40240989,4322279.26479676,4296735.92823308
4381552.07446585,4300365.42194104,4331699.69030649,4288673.26949175,4335557.6681049,4339983.61327692,4285974.58555339,4374449.44550504,4322279.26479676,4296718.14524003
4382821.46409884,4300153.66705626,4332412.56258361,4288673.26949175,4335557.6681049,4339983.61327692,4285974.58555339,4374329.38624822,4322279.26479676,4296718.14524003
4383347.17970045,4300153.66705626,4332412.56258361,4288114.7253954,4336926.55029926,4337826.92292084,4285974.58555339,4372555.59617842,4322561.54893957,4299126.77159925
4383347.17970045,4300136.36934063,4332412.56258361,4288114.7253954,4336926.55029926,4337680.18756266,4285974.58555339,4372555.59617842,4322561.54893957,4299126.77159925
4383259.01076054,4301445.25386336,4332412.56258361,4287875.84074027,4334614.58408327,4337983.90962437,4285974.58555339,4372555.59617842,4322561.54893957,4299037.28803045
4384778.47855806,4302414.19608355,4332412.56258361,4289807.16892869,4354350.96197284,4337983.90962437,4289790.07361753,4403249.73946527,4322561.54893957,4299037.28803045
