"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2394939.54355331,2287540.21398434,2446984.56156058,2316776.66873029,2261004.31365228,2404379.05619543,2210972.58911412,2383800.45345419,2372357.08303651,2524081.59805147
2568251.94209936,2556445.80779212,2551377.41941971,2528731.70902144,2661369.60195553,2424355.33333474,2615833.26380045,2551372.90280502,2582450.88508019,2544160.88644123
2754438.047681,2852255.50359897,2623633.47610027,2631011.80969534,2670678.0180091,2623121.41890546,2773706.09951509,2663510.04522234,2605153.83091805,2553300.63744634
2780931.73337015,2834557.90148953,2647476.47508712,2655962.85885307,2764632.70173909,2748732.84625881,2894607.97700167,2696184.77223778,2639108.44739395,2653380.85706315
2794989.33608407,2849889.01635564,2798361.54475463,2856251.12638419,2747494.03708776,2705823.96241169,2926764.28445655,2711271.1485347,2709462.10078203,2861326.96934805
2844962.75200625,2866938.11361294,2783692.44810773,3105543.4520334,2753487.19484291,2721035.94032853,3062340.69934645,2833726.84335179,2820000.1192274,2889651.14861623
2908177.60212368,2899808.15916533,2832829.06499041,3143461.64715133,2922283.50918684,2843395.63498486,3055917.95610053,2913107.24510435,2836163.46585393,2925312.40281201
2965606.99774522,2899808.15916533,2856260.34424265,3155096.60238018,2965146.19310829,2895654.83492434,3063540.12290084,2926869.88531671,2848251.79169148,2924815.33996681
2965606.99774522,2891627.30675402,2856260.34424265,3148177.34051448,3008502.53605056,2960820.50330884,3084698.546815,3010349.82979876,2874106.72104197,2949415.74517101
3041408.10667857,2891627.30675402,2844983.87585483,3142335.38077144,3016720.7635128,3005118.51485778,3161894.21837309,3010349.82979876,2930350.19946253,2981147.679981
3191199.59869388,2897926.12489243,2862436.7305966,3147487.14597677,3111829.83466139,3027085.71850018,3184082.74074732,3033343.70701828,2935625.15472842,2980062.49709182
3191199.59869388,2897926.12489243,2860443.57487966,3150777.52644504,3110569.29058106,3027085.71850018,3187488.09249537,3061928.38617607,2936463.16088981,3030143.98256557
3200638.94330061,2903566.50116832,2880110.26037728,3153709.5209591,3103141.57027255,3034121.78119154,3187120.78474133,3061928.38617607,2962334.8024032,3054043.25186134
3192290.1619585,2903566.50116832,2883376.63486825,3189736.92720434,3142507.48463778,3050134.95867219,3199552.5071081,3061928.38617607,2953455.64738174,3050456.52731906
3192290.1619585,2940184.41623599,2882302.11233386,3189736.92720434,3142448.36784744,3050134.95867219,3199552.5071081,3059459.40757091,2956716.98089967,3049754.17669602
3197578.34884322,2952228.74660265,2874929.74050023,3189736.92720434,3142448.36784744,3067785.20476149,3242566.59886834,3057960.87078544,3033299.48539385,3101877.71358006
3197578.34884322,2950685.74668449,2874929.74050023,3198274.53408694,3142067.19508743,3080516.07056088,3242566.59886834,3062598.53430921,3075357.25677673,3115714.69436002
3197578.34884322,2950685.74668449,2886100.58362788,3198274.53408694,3169512.75894523,3080516.07056088,3244170.94381888,3062598.53430921,3075357.25677673,3116299.3001874
3198035.47514093,2971278.54212442,3122802.90463315,3198274.53408694,3169512.75894523,3083056.15925862,3244170.94381888,3078008.01633769,3073502.86440473,3133178.81084193
3198035.47514093,3046465.11090146,3118810.61376717,3203489.26567243,3251221.08902433,3099087.44918575,3244170.94381888,3075621.66897781,3101349.3092321,3133178.81084193
3219984.94542399,3049148.01254853,3148383.13243748,3274341.95740443,3250120.02818992,3102156.76775293,3236101.37959166,3075621.66897781,3101226.92299818,3135499.24256266
3219984.94542399,3059506.09476291,3148383.13243748,3300730.28073777,3250120.02818992,3190740.57853662,3236101.37959166,3241663.71557567,3162418.38656121,3134933.72290052
