"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2041755.3645366,2206568.1100953,2106942.77637246,2125445.48688148,2092335.17607886,2121087.45894202,2131916.91186931,2046665.67384982,2057651.09173692,2032203.9492436
2290958.47278757,2381446.07625984,2408549.31827123,2282893.1558963,2286812.6646959,2288066.89201821,2412537.85240262,2225810.26257085,2247428.2722876,2206298.61389618
2430886.92634069,2444891.21669329,2548245.55407128,2436684.47559506,2378898.23711497,2331888.98049083,2422659.83887882,2385417.01241653,2371285.69306721,2354809.21710462
2552990.78003165,2549881.67645729,2558996.30783889,2480398.05042916,2494105.18537379,2416216.85849077,2441813.66864831,2532936.26382971,2481476.48773086,2494140.5926391
2574553.78936157,2623769.70494292,2573421.38312913,2602358.03851671,2570862.25317012,2537719.75910085,2551547.32882756,2711499.654616,2573970.2567387,2683801.88078163
2664004.10761331,2672793.71746034,2646743.94021854,2667112.60033211,2658251.55501122,2583333.43497704,2599747.6501592,2754903.99506319,2672748.07181683,2794109.59446724
2724572.42603722,2805537.30296085,2681160.13445009,2714411.60939928,2704346.53393822,2639356.65060073,2695959.77053761,2878313.45371799,2730070.35853969,2918756.20907443
2808303.55592553,2829132.87856822,2747726.84181018,2748200.71664932,2799037.98036537,2721942.64429823,2703283.53772648,2898958.38642193,2759830.24681604,3016015.97128863
2933168.5894281,2875040.00248937,2862052.15948551,2808142.83660988,2820557.2110889,2758214.27042766,2786756.81873281,2979759.5780356,2869137.56524913,3032982.9014842
2978084.18050059,2968131.68029353,2966275.90777379,2828037.21858972,2884557.43953968,2817408.14278945,2823902.89234486,3032522.9038241,2887832.5781381,3105583.96104315
3021480.54455487,3048011.78573612,2999486.46784839,2916009.12462372,2939500.9087912,2852315.77580361,2873439.46538225,3073824.5992588,2930321.15536571,3136288.32994756
3044838.58547062,3097068.35693522,3017081.69150874,2984100.80468774,2962583.43820044,2892299.60492997,2920359.35783842,3137586.49314675,2988385.63820819,3140541.05380662
3058296.06382338,3127497.61996242,3049589.56891285,3077290.93522729,2977202.47056354,2996718.67387823,2938252.33185175,3146796.87662457,3019383.87006778,3220042.83813023
3098984.96794331,3134191.97753195,3076309.42877401,3097825.16516384,3081050.04868266,3088863.99667133,2996377.29834341,3161972.07430911,3045693.33186818,3220291.68701342
