"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2323394.98303647,2245403.63613411,2436755.68991275,2331484.34930125,2419406.90298236,2310022.14673991,2311425.51158069,2269615.48201392,2290970.69625388,2294247.61975479
2563819.12380884,2526296.66588841,2567479.03635965,2535843.47119482,2590679.29224323,2559492.82525746,2533355.41186621,2607360.13437508,2541655.17439798,2517827.97811056
2789776.23243544,2804085.92559659,2723883.12466564,2716287.43530278,2826900.95327053,2793139.70878886,2701726.6941725,2812701.66163981,2780301.22312168,2740798.34402834
2894530.1119248,2996595.68666854,2877256.49152491,2949366.70935065,2976159.45895116,2935327.60666014,2852491.01661676,3037294.14420359,2891131.00367315,2973698.07923208
3069775.7223096,3070433.94684053,3070832.13386868,3084857.00450011,3076925.91219991,2976744.9335732,2912861.27046304,3133836.66566743,3009071.93082823,3075327.34247354
3259967.25485191,3220379.23118294,3140026.96339146,3134353.63061168,3159162.21284025,3068373.09933099,2953258.10486233,3306118.88043742,3101681.06017244,3290285.43326693
3341961.46818377,3317169.24726556,3305078.74803639,3330864.47471529,3197300.96707856,3171498.90030423,2998370.68509904,3423485.97405937,3169160.2991506,3416379.557834
3403415.70354308,3350160.94451449,3351521.93598096,3376714.14359314,3226264.32968586,3241112.31755182,3117173.39741702,3448927.95551702,3297762.03309851,3490660.1552716
3481341.41568508,3408771.04578076,3398178.47550944,3401361.70464228,3244140.55551316,3343962.97304901,3163863.60034937,3501400.47202606,3405441.18109585,3526481.02464947
3610042.84892977,3416200.32496169,3414672.22324422,3488234.36971725,3319139.17831019,3388616.71792186,3228844.56305,3602314.03057871,3466846.43949418,3577250.06765681
3638213.70709903,3488760.4522987,3471344.67632577,3487372.43353872,3351576.97531709,3477173.15893513,3366288.86087005,3625107.08809849,3484869.52360326,3611193.94474274
3692737.53446871,3542466.92510485,3491013.74012742,3518010.08160974,3533895.89239247,3549384.1403026,3405680.79403279,3634409.15829811,3547822.70535708,3620609.74744444
3731424.67622375,3569078.28427569,3498923.34178349,3577759.67224122,3585457.75331818,3568742.43566027,3441093.68310238,3632515.83964511,3591198.89836207,3620104.79315619
3732761.37064667,3628882.71317338,3534744.39705225,3600160.15149703,3644109.03003801,3570780.23477701,3441332.10120277,3645366.29531803,3648196.61460939,3634331.86738992
3742373.49948426,3633797.651359,3564836.91904941,3615254.33625925,3643697.94441227,3571677.15268705,3449821.40197169,3669558.22464933,3767667.58667998,3634056.34861864
3747013.42674871,3638760.2549538,3605665.26272077,3619012.74801395,3659487.55224209,3635888.35345881,3449606.51172745,3677515.27736847,3765239.87105312,3641146.85290466
3749957.74081265,3652050.98861923,3742681.74136294,3643023.58000785,3659819.46476557,3669386.82088397,3471042.82038948,3681088.43885295,3766306.25680043,3696569.29841149
3758937.55367412,3659270.89717432,3767363.00177093,3641927.44111735,3662857.44199896,3673808.8747187,3530060.04602495,3701234.1620959,3765799.23735943,3700203.43789235
3758348.17761595,3727637.98900042,3774093.5922624,3642095.79518802,3663517.99915039,3766150.49617903,3551076.87857177,3710558.07451678,3769059.5072465,3702862.69261091
3758348.17761595,3729176.26445025,3790947.04632836,3639319.71018843,3695605.13572406,3805777.97800569,3581445.82493807,3709197.5283072,3769635.05405983,3709047.58926361
3761981.60852182,3740754.64621084,3820123.00197233,3685726.28303559,3694457.53726223,3806716.20494764,3614114.77510571,3709423.13261205,3770854.47485409,3717183.96442989
3761302.95516629,3766608.05954905,3813796.89327508,3703520.4942441,3694300.02112752,3809469.0432445,3616568.71658622,3709831.63766618,3775765.15663363,3741481.59522464
3759297.74365746,3770889.67424081,3813307.72575513,3704304.19197729,3693894.34999693,3839550.00887283,3706071.77885278,3715335.8479995,3775673.40624257,3747577.37588364
3759953.72146049,3772726.82448984,3813307.72575513,3714102.89527471,3697582.97386763,3841213.56487802,3707459.81384324,3721070.86913837,3775673.40624257,3749300.89635963
3770874.19700109,3778198.01857843,3816228.24244514,3730895.47001963,3697935.30712726,3842189.76551898,3708925.21290336,3767834.21278948,3777233.85432681,3756480.42761633
3800761.63238952,3782668.51357058,3816926.41759785,3738058.08303358,3697612.43869132,3843160.07987348,3712407.38827994,3787082.73247646,3777233.85432681,3763456.66805426
3800296.43542705,3814824.58985053,3820784.0315843,3740609.70522397,3699691.905264,3853993.82400981,3708132.99431807,3796107.35529643,3777257.44256119,3765432.62681908
3817415.82912465,3820240.41245559,3820499.35181881,3806360.47981385,3699673.86242619,3850848.10095356,3715402.0265442,3806388.93056015,3778158.83110253,3764828.28118981
3913680.35846973,3826747.37382735,3821173.80305704,3826959.54111735,3699014.11222421,3850848.10095356,3720739.44074111,3815633.44025356,3785132.14913359,3764900.22215182
3920379.84387078,3824709.64454346,3823298.6263208,3826959.54111735,3699052.06489852,3858459.32430542,3733540.45215594,3822431.96062636,3813181.91602544,3779210.41967221
3920379.84387078,3841673.75491383,3828144.48072704,3887928.12747166,3705616.04393155,3860595.17362799,3739601.89138923,3824684.01284134,3817203.58346613,3782578.29384399
3920379.84387078,3841627.10636004,3828689.43562128,3904800.96885401,3705470.59296336,3858081.22026914,3831755.72522479,3827254.82667259,3829293.02108867,3830045.44723837
3920379.84387078,3843436.57626577,3836129.34418732,3904669.91712518,3744040.68818029,3858081.22026914,3843071.7320686,3842392.82687985,3834228.56643828,3831442.11360209
3918197.78924566,3845297.42110326,3837548.65015417,3895915.95081069,3744645.09831417,3858081.22026914,3843771.48075582,3856091.02037053,3834055.49298697,3836010.96769683
3918197.78924566,3907153.16112369,3857219.21801592,3900238.77358182,3744645.09831417,3858366.93476861,3841259.11754704,3880845.87734094,3836160.77930155,3836021.18744713
3918043.23102987,3915291.87966003,3888405.55629157,3905935.70134907,3748032.40723405,3859401.9797191,3837478.74907466,3879449.9640418,3835100.17217302,3839333.35028779
3918043.23102987,3918095.18407947,3890207.64165692,3907693.91648573,3748350.76346029,3859317.37109426,3843131.85659407,3892174.71371914,3836653.33963286,3840009.34485319
3916793.06751888,3918095.18407947,3888877.06595503,3906592.63830722,3747111.23717556,3859317.37109426,3841444.96617772,3892779.20035927,3836653.33963286,3849408.11400123
3916793.06751888,3927692.91115819,3888758.15777398,3913011.75641545,3752245.2530282,3856344.62798739,3899971.76960669,3892291.38371306,3836823.15336839,3870192.97720566
3916793.06751888,3935936.37088871,3888575.560202,3919246.35844208,3752580.38898006,3858057.31552505,3899838.90629745,3892291.38371306,3841313.34601299,3871608.1472445
3917552.34761856,3939833.75838286,3888609.16438835,3922406.02659486,3752500.90142983,3860319.3539845,3899258.16938231,3891024.60117844,3869795.81581336,3875130.27655107
3917552.34761856,3939833.75838286,3889106.7711623,3927776.27526424,3816939.30770657,3860786.18058102,3899611.7992956,3929577.15594194,3868027.31303288,3875130.27655107
3917507.61439863,3939833.75838286,3890220.2896264,3944041.84439599,3818775.07128403,3860026.97142627,3899794.78626117,3927095.16892472,3871237.11864471,3892395.13917727
3919320.12123348,3939019.84744442,3890220.2896264,3945828.95297551,3820469.51658546,3860026.97142627,3900857.57895552,3927095.16892472,3868802.47406181,3891921.12572761
3919841.09583658,3939019.84744442,3890149.62421936,3945152.99631881,3822456.79796262,3859345.97722926,3900857.57895552,3927095.16892472,3868084.78283198,3897976.65123947
3916644.74706089,3939019.84744442,3889833.84401999,3937038.40494094,3822532.09535709,3859029.87162172,3910928.27938529,3949197.22203342,3872609.10456975,3902364.16326735
3916644.74706089,3930845.09186497,3889833.84401999,3937038.40494094,3823025.43282918,3860850.56396065,3910923.2301298,3949197.22203342,3872609.10456975,3902364.16326735
3916644.74706089,3930845.09186497,3890101.89785772,3935215.17993569,3825208.19041096,3863305.54621133,3912900.22170096,3951611.28062215,3872572.35058151,3902364.16326735
3918071.43151485,3932782.29972879,3894275.69625464,3936052.94868261,3827408.8948561,3863305.54621133,3913454.15148786,3951258.54865437,3880562.98802993,3927063.26613372
3954542.49386509,3934592.32570088,3894275.69625464,3940965.79480062,3826680.22142628,3865120.29034731,3945686.53735542,3951633.90930535,3880562.98802993,3926466.85239103
3949786.76832074,3928258.96282768,3894237.89848395,3945756.33887412,3826922.82821087,3865714.69522558,4003113.80146525,3951877.88379193,3880562.98802993,3926795.33317864
3949984.07970452,3928429.27635007,3894237.89848395,3945756.33887412,3826922.82821087,3865714.69522558,4004542.96197288,3954345.57960151,3881520.00511918,3926893.55175553
3949984.07970452,3928170.23460738,3898370.43534195,3947377.90654022,3839431.93868966,3867242.13011278,4001127.26732443,3954217.44863493,3881192.4758938,3928641.64161573
3951321.91068261,3929445.14901485,3898699.579618,3947377.90654022,3839931.46443003,3867242.13011278,4000374.75669002,3954835.06817714,3882402.52941172,3931399.18215426
3978472.05254972,3930932.16899286,3898699.579618,3947243.16492077,3839608.76589661,3884716.50076967,4000374.75669002,3954835.06817714,3882181.44085962,3931315.08570442
3979722.16027253,3930932.16899286,3896489.62475859,3988747.3296672,3853831.00320182,3887706.71352263,4000364.53069656,3954172.13881304,3881877.8703285,3931621.37239055
3980183.92758015,3930917.32900453,3898973.78492844,3987266.76007066,3854150.85057993,3888310.0152651,4001453.13295589,3953695.62556412,3881758.20179247,3935691.39327473
3980183.92758015,3930912.34457976,3898973.78492844,3987314.34554213,3854150.85057993,3888212.02992598,4001453.13295589,3953606.06385878,3881883.97171383,3942170.07922587
