"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
6613151.69902533,6696744.53284051,6705484.29288622,6675528.12731498,6653375.9552328,6641828.23968095,6695157.55525685,6687177.66590288,6657428.32828092,6615709.43653722
6884853.11012606,6826329.21239081,6841525.86635813,6868611.824117,6817211.76451273,6813827.6445616,6878440.16592567,6851643.62342784,6773443.25867501,6794510.17582626
6969178.03131166,6891296.4392246,6899334.38625989,6895905.31089097,6870884.9864885,6880789.98258062,6895812.59999101,6944914.95036927,6858375.16469016,6889429.14993523
7000237.79846066,6907303.04101575,6899266.15317819,6921709.63357039,6889733.3135739,6907109.96633513,6956136.91303429,6956500.00521541,6892868.65494558,6912836.99008321
7012437.05350835,6926817.19590171,6937769.17181935,6942554.43300121,6958867.87357134,6919174.85438931,6967093.56088189,6961652.79158953,6905263.64988732,6912836.99008321
7019758.22512059,6955911.58535805,6939291.87244547,6953019.61300251,6958935.74161261,6971445.38536497,6976245.42745257,6969619.25129554,6927930.10653459,6915185.16459995
7024549.86793096,6955195.15968161,6948241.60425859,6953580.73000074,6957801.24624937,6996430.11377501,6976610.69051994,6979325.86709304,6929569.71669531,6925439.02703161
7029779.76641401,6959942.59628353,6947498.86659845,6962324.52625428,6962580.05307296,6998177.96933748,6979065.3315249,7078183.44407579,6953899.34905643,6926436.91625992
7049376.78815048,6969317.42424599,6968266.42402788,6974247.77067411,6963945.78086565,7001288.45974643,7006087.1977316,7081239.79970688,6944739.06171466,6935903.65473402
7060556.8375263,6978553.17918652,6967779.44324463,6973140.24512289,6977184.40840525,7075275.0097976,7008454.32988468,7092905.01336408,6955653.62542211,6935705.5244676
7058887.78781486,6986052.92065029,6980787.17664032,6980702.29978786,6975974.59248231,7091088.77045504,7010599.68908835,7094015.8176489,6957282.78561774,6939854.50985948
7055125.73718419,7013662.35906575,6977393.30328616,6978352.82504876,6975859.03083589,7091361.55344208,7023217.95982755,7095446.72593063,6958102.70666138,6939854.50985948
7062604.34708093,7013169.12805578,6985509.71423145,6978293.10771884,6976635.15606548,7099926.40082734,7024449.0052269,7097591.96138687,6958102.70666138,6938925.2469536
7062646.06867802,7013169.12805578,6985223.33499711,6981202.00664221,6978988.91318712,7088339.23504004,7029799.03588487,7098200.52465498,6958102.70666138,6937283.20107818
7062646.06867802,7013169.12805578,6989190.00833674,6991765.35629027,6980844.99882073,7088924.47314466,7029795.64053759,7101391.84237684,6958102.70666138,6940286.97953304
7063653.95832016,7010889.85303011,6991681.095449,6992650.81245405,6980676.51503538,7098876.90356301,7036386.53209219,7101391.84237684,6958106.48304202,6940286.97953304
7073886.74541823,7010889.85303011,6989791.30452303,6988092.44464943,6980676.51503538,7113321.32573044,7042337.10445789,7105288.5604118,6959713.39476884,6939711.72759948
