"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5935973.7831765,5902543.98830801,5888042.087893,5892087.58850631,5957810.95440658,5867700.24502894,5929934.28018775,5928623.3856908,5852080.35934744,5854589.74238459
5955357.41021359,6086477.6197676,5968616.4465547,5923908.39575746,6079011.92445482,5981563.0828828,5961921.44646962,6056565.25143668,5970984.76079234,6070834.08407582
6072170.56415463,6036637.92051214,6005702.55868265,6112443.03148683,6134663.95885984,5975925.09590558,6032719.33864593,6071957.11270226,6041356.08895824,6094294.82776121
6042599.21374659,6065580.65200452,6023075.26768352,6089229.47900529,6198750.00582262,6180945.08286078,6078300.45582751,6212679.64113679,6120691.63791396,6168225.93892498
6119382.20965631,6082566.43911062,6085914.35495343,6141089.75134619,6219714.4056934,6205260.42083652,6107746.95257793,6216955.26215708,6179097.08212778,6175310.44376749
6158547.64843435,6185820.46007979,6102915.92811588,6156818.6273229,6215932.02781728,6236258.02207585,6165713.51356957,6253472.9647644,6227041.16413174,6176276.37785961
6208151.27623883,6180273.75875598,6150040.08636909,6155206.81862715,6225481.89657192,6204020.18071009,6185337.04247634,6277328.64097072,6218041.00522215,6181481.50223977
6194909.13333542,6211320.03444657,6153948.6181242,6195208.13593463,6252815.68334591,6274510.03195519,6220803.29411562,6278131.90722767,6222208.7912405,6214086.99402808
6201309.09890142,6212278.52314809,6165207.0161748,6202695.32158478,6266389.29331453,6287060.26148828,6244388.21108191,6296177.85993084,6225569.10399827,6208493.22136854
6210358.95511289,6212616.73652844,6168989.9414676,6250394.59005257,6266624.63642174,6289445.6393636,6252431.7960057,6317098.80538298,6280489.24837181,6203301.57167494
6197817.63445112,6216941.34432925,6183934.18523758,6275637.51123752,6268519.12307323,6292362.63695222,6236787.7082049,6335225.80451073,6303376.70649052,6200033.6253663
6219985.28756163,6233174.50306667,6215300.71582206,6290768.5315522,6263801.38261375,6302689.09733741,6249313.17266737,6348402.08027362,6304168.44954535,6212316.19442744
6225180.12025531,6243274.95333563,6219370.58784669,6292547.23719997,6274900.64953098,6304629.742669,6278215.20640335,6349310.16419455,6320048.57364965,6230728.65790879
6230768.49835236,6271305.37056056,6244076.97484802,6295036.46994033,6280802.21511606,6304256.67136684,6280507.29610995,6349310.16419455,6291945.13094696,6274469.64830078
6235869.79377837,6354516.59886089,6242979.23054876,6310389.22366431,6302058.46946378,6303991.81761471,6280461.16882567,6358890.31101943,6290854.43834003,6278286.00720316
6246310.00762299,6354667.81476598,6246598.77717352,6311108.08474355,6302597.46701562,6307026.10401996,6281827.16136654,6358890.31101943,6296836.54671403,6276907.78520138
6253349.52274394,6343076.59513275,6258645.79602719,6308819.249874,6304923.89583342,6312755.70696544,6300081.46583903,6363075.15893449,6320690.81390655,6275411.3170415
6251328.05647943,6342230.86089373,6266029.76144369,6308758.66591385,6328170.81497331,6317852.73398451,6300111.34632496,6367604.08473637,6312822.7343515,6278550.60564925
6263631.34294377,6344341.66929968,6268245.23394276,6328343.2963176,6327093.99756114,6316803.94956248,6301301.82402513,6367604.08473637,6320696.64651349,6299456.03086907
6280182.28009444,6363606.00006755,6270968.22142733,6330200.62511515,6327093.99756114,6317757.98780027,6311831.92324231,6369048.70133461,6321322.77764198,6310342.40252014
6281302.35909966,6363606.00006755,6270513.81510544,6330061.65780947,6327060.1649552,6321686.01642054,6321551.58550253,6369519.2098872,6320350.77209997,6310457.62097464
6284517.05188699,6362479.6295263,6270549.88403,6321025.52064551,6315191.21196123,6316688.72748834,6331383.60757456,6379586.46046665,6329963.57126943,6310457.62097464
6287269.30610406,6362479.6295263,6274114.74313543,6323248.13562781,6317921.90075134,6317110.69792182,6329903.53774391,6382940.15534735,6356059.43966794,6324669.47774573
6289630.76085791,6362479.6295263,6294414.7050806,6331333.4229551,6320375.37798378,6320969.10487716,6329360.94629457,6382940.15534735,6358279.00459442,6324669.47774573
6289730.36334418,6362714.72476405,6303739.83090238,6341594.58161225,6326410.61473314,6318199.26870539,6346245.26237092,6376448.75248456,6390754.44760315,6358621.88367687
6296047.76152452,6362714.72476405,6303739.83090238,6341594.58161225,6335644.65770025,6318199.26870539,6347432.07476111,6374604.8410914,6390968.95765014,6358271.84182639
6297467.54017125,6393789.84793586,6307979.70138715,6347628.56029123,6336367.65096043,6321865.34714864,6375726.74583544,6374604.8410914,6393163.91172648,6363924.38921848
6297979.39370945,6401007.02934611,6314123.08794266,6347675.03163316,6339566.59240693,6321142.93572437,6372388.62812342,6376937.20385639,6404049.78116605,6377565.76710116
6297979.39370945,6405906.32966248,6313873.42349927,6355859.46335327,6338231.88499617,6324317.5797617,6389255.51725003,6381168.23253695,6412987.52044529,6377565.76710116
6297979.39370945,6436090.86747875,6313873.42349927,6355859.46335327,6348586.88321851,6324165.94982465,6390442.06275502,6381168.23253695,6412658.06499168,6375891.65113992
6299235.24025959,6435761.91058626,6313873.42349927,6366756.22750066,6349703.3620497,6324100.04959884,6410388.65785262,6383862.14585446,6415840.83977857,6375525.79917165
6302240.08980236,6434492.23687006,6314688.5380398,6364270.80446861,6352382.0664713,6325927.17689656,6421927.76208396,6409019.0642023,6412003.84829884,6375525.79917165
6302320.89456967,6434492.23687006,6314438.3576094,6363630.47020649,6366673.01994526,6327296.36079878,6421927.76208396,6419030.22400208,6400374.99494241,6374553.9122706
6307401.59352012,6434800.57734603,6316413.05291967,6369996.23810826,6366673.01994526,6340771.47798722,6444661.58819313,6419875.38964508,6403473.94935253,6375861.3411513
6307475.08708004,6434268.0226522,6316102.5638364,6369996.23810826,6366753.77305066,6368254.85091206,6444661.58819313,6421682.86041978,6404617.14088157,6375861.3411513
6314591.50837167,6440099.64377398,6316377.66750632,6371340.80470587,6369460.48109844,6373939.41147214,6461682.23053972,6415846.75068216,6403677.07739434,6375861.3411513
6325331.67965514,6441837.43821427,6321321.02567101,6371340.80470587,6369008.48714744,6364220.08266693,6456011.49756531,6417331.36667948,6410210.27963819,6375861.3411513
6329081.99750552,6445121.68720117,6321321.02567101,6371340.80470587,6368328.57928064,6365866.89411247,6456011.49756531,6417331.36667948,6410210.27963819,6375861.3411513
6332151.56585057,6453012.85907445,6322549.7614451,6371340.80470587,6371366.08935465,6365866.89411247,6455652.39192747,6417314.13128648,6410321.4240346,6381058.36479911
6332151.56585057,6453029.28993994,6324450.8530465,6373017.34755955,6371366.08935465,6365866.89411247,6467557.67915428,6417573.8398115,6412094.75691902,6373964.6378623
6339471.9961304,6452937.87161722,6325007.26047457,6379852.59759733,6371366.08935465,6368266.9478084,6467557.67915428,6432485.63763941,6412094.75691902,6373948.88871774
6340524.9828344,6461371.74432643,6325591.23221427,6397441.34101895,6371410.3978205,6368266.9478084,6466635.41929653,6431926.09397422,6412094.75691902,6385534.3568292
6340266.51732864,6461371.74432643,6330868.75196785,6399065.60931711,6371744.195309,6365762.10624098,6466635.41929653,6432345.86366542,6412094.75691902,6385534.3568292
6340266.51732864,6465251.91050905,6330596.11174947,6399065.60931711,6370805.8539081,6365722.05879895,6466635.41929653,6432813.52182048,6412094.75691902,6385534.3568292
6340198.07678449,6493545.12697766,6330578.18172253,6402092.42827022,6371175.72699562,6366369.19930039,6467408.6725499,6432813.52182048,6410848.99095416,6385534.3568292
6340198.07678449,6493545.12697766,6331507.43888287,6402092.42827022,6370495.76769984,6369399.20846518,6467408.6725499,6432779.7903517,6410848.99095416,6384020.1527937
