"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
4056306.65604426,3893532.23912694,3800259.07737583,4025776.34772276,4224061.47741335,4067437.31625096,4025436.50094189,4181006.09130259,3802358.40446261,4454690.13196024
4491606.57137588,4115706.82011083,4609049.53033416,4466094.69807348,4750318.53331865,4631761.649665,4642603.89690697,4677254.62574593,4394902.44521259,4680263.61590419
4836605.49596355,4360309.84395815,5139621.51868434,4727113.50651952,5268671.51642813,5037600.86413459,4996575.67175813,4894259.57666291,4716813.92599101,4969510.40776468
5184528.85660644,4689844.54520586,5203130.99530318,5144842.86241025,5314232.45290241,5098375.35180053,5116826.72837751,5221462.07287124,5038232.87541225,5298684.67565566
5360639.9664961,4858755.74860424,5385104.00496633,5190760.3560717,5341792.55760644,5233822.41998953,5275053.60277946,5245314.30501206,5177841.10865454,5479572.88292424
5476671.87052182,5165563.02389665,5473247.94682507,5283081.19379996,5381712.16938435,5241929.46779817,5455277.08129667,5251592.65622965,5411433.10911566,5495828.4736562
5506911.92421015,5477476.67867292,5477831.97053223,5457990.08842084,5508984.30874603,5257338.3815363,5486354.89573595,5365447.61600672,5466803.15678315,5546213.70033172
5660589.63397436,5524698.84100119,5478395.99862053,5576220.53467262,5636755.60661503,5355630.6593323,5502287.50137946,5369907.20902765,5488961.9360505,5542595.49671845
5659418.71236008,5590641.09162393,5549155.03273252,5694462.52028159,5637786.77883571,5505476.32939469,5513633.8237011,5459868.5819285,5567618.95712834,5667419.95099585
5663262.95572775,5623412.80239514,5601641.08712515,5738939.75161034,5637786.77883571,5518264.65561661,5634792.44339727,5458323.15727221,5783032.25858701,5751033.76085727
5827930.90138793,5742878.2461115,5606722.24781677,5926857.00526801,5711314.57938623,5586212.09774306,5635081.88869383,5482437.67303163,5787223.41357838,5946650.45789493
5827930.90138793,5742878.2461115,5627291.52152231,5927482.50020944,5713874.11264689,5593168.32520426,5636649.13190818,5582305.8561599,5804839.2078636,5965490.69649751
5835371.25956058,5749171.56958173,5643840.80500704,5982004.35595493,5761869.18093334,5688134.34129713,5669646.29098555,5586759.13792295,5805444.84243239,5984222.99873419
5844694.94019752,5818809.0665883,5653187.38747809,5979541.46523064,5826721.71396252,5688435.03316136,5725709.00246965,5629888.00414027,5815266.49211767,5998399.69268506
5848553.16006205,5826998.08798038,5669400.44080432,5983574.2719833,5831974.76972364,5689971.49100591,5785049.82447043,5886513.50290269,5815266.49211767,5992863.76116179
5852951.06443935,5826751.41405819,5738592.09512081,5983574.2719833,5841180.30323643,5872130.47080929,5787397.42053298,5886485.84442912,5814737.57893779,5995563.39202303
