"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3376055.80395753,3360813.56784503,3209880.70150285,3533110.23166711,3579291.87126827,3364790.06209884,3234857.99940962,3795199.79743522,3291732.77549639,3698529.53909702
3722342.37872644,3559447.57219033,3620958.42555088,3691171.61673204,3956777.39720176,3697060.80826823,3639113.94146724,3933633.26492708,3584904.43267676,4011696.55521395
4014274.6201189,3849698.62277891,3871135.15619451,3913002.8867369,4164234.03469106,3922296.49115741,3780740.36525918,4065911.2494612,3822657.96322564,4180002.43057914
4123187.65631796,3952278.71281019,4054847.9049918,4063241.26870387,4322560.97761683,4163223.91638947,4019693.83741161,4233716.52911818,4045689.80206791,4374927.83751418
4301146.14679126,4059713.24283428,4140536.91795842,4255069.23341218,4367820.09317255,4238641.24407101,4110202.97555145,4309165.34002801,4161615.50207981,4424424.6833424
4429238.29797113,4118891.4040504,4346418.37450901,4350935.71630891,4408938.60710973,4346112.94705789,4272385.953799,4424786.81676131,4206331.55260956,4443296.08312505
4553415.93146095,4230417.22429773,4451061.07225026,4427685.95588676,4460954.31522778,4538391.38266023,4463570.05071411,4467345.55570633,4294832.46659231,4529101.47118955
4613306.35377652,4402480.55449027,4481290.11565297,4553444.55067787,4547001.64697857,4600579.10847152,4606205.83223966,4500396.67711201,4343132.811188,4605746.37300301
4657607.35764071,4496860.15466771,4568704.98524433,4666583.49783905,4607431.19350796,4707636.17314503,4643353.97558439,4561605.18891197,4462219.09488674,4633482.90295538
4698368.78994837,4650367.47161487,4620415.20158082,4743357.87722127,4730734.89741346,4730378.35683019,4690663.70271048,4684111.46161129,4493432.6399199,4663052.88540158
4780664.07515632,4692250.78936645,4704156.52776549,4808436.65807707,4769870.92010385,4780068.74642604,4808345.22825956,4738657.27008143,4571796.59162694,4798210.37687145
4810094.99946404,4716206.15478208,4788230.01910118,4888904.39483197,4820445.16017857,4801335.47404598,4849013.20026816,4831534.25156541,4681601.65243191,4882854.40715891
4841401.94403986,4784526.52975308,4877508.29124341,4919023.54040317,4886882.71648809,4845235.49923603,4987936.00492981,4894147.3726476,4718194.3839677,4906510.05399074
4894883.98482957,4803078.74421362,4889475.45605051,5003983.33082007,4942848.09396167,4940482.86124023,5030336.64447161,4931641.69446972,4735830.8992762,5030742.35439113
4956103.38224079,4828262.74931263,4972103.35573224,5083279.49512246,4972927.30558575,4962313.42003146,5082666.5917211,4936741.238827,4768859.44865855,5112724.45693442
4999196.63171708,4869041.58011059,5016511.31188599,5098294.66804642,5018502.89443272,5012086.78003471,5164389.1907132,4952740.57033569,4812805.16566587,5116547.25925547
5053171.14458801,4884355.59837604,5116915.91592786,5146162.44630427,5041699.8027138,5014584.19847318,5187146.16728828,4962199.63486471,4824794.75984626,5131479.66054906
5057613.7596096,4909605.19930862,5203202.70448288,5165280.88376189,5073831.05887942,5048401.50027263,5223227.60819548,4977172.92893844,4865840.946705,5140551.63917908
5071263.37628501,4918365.84311867,5219602.9144462,5190937.85585522,5086091.70282923,5054268.17158267,5248608.18582275,5017333.10621814,4899372.57588816,5169758.14439355
5122181.74904844,4990173.71257033,5291100.60607089,5245698.57548436,5097986.16943759,5066771.96224028,5313015.19106192,5062034.81122181,4906256.47425017,5173883.09013504
5127081.65384643,5029026.81935685,5325768.73363159,5258407.57890283,5118028.5098845,5069850.32507383,5338105.30552435,5113986.15835218,5021992.3814886,5176818.04920913
5123577.22828254,5049756.73509527,5328037.64037628,5311321.59415896,5135884.28796518,5104831.70286163,5378441.88864975,5120787.61357258,4977069.00903165,5176380.36731112
5125864.59021419,5083076.29228934,5344824.52056426,5309565.06914902,5150994.3155248,5111439.1520195,5431278.64805307,5194317.47325491,5055787.39564208,5163594.48459835
5143561.61667336,5099507.14574454,5355606.80883851,5317868.97087607,5181331.02697147,5168417.12669674,5439618.8485547,5202427.30668224,5071909.42687472,5163551.28352896
5189346.82578042,5104500.12874566,5360031.43288235,5342206.99088493,5194881.19030039,5169089.45123312,5436584.31333972,5247076.95406523,5093570.28313873,5167264.89205481
5279522.69900781,5108507.25494174,5364433.29812252,5350290.89092162,5199893.69779595,5191523.09923334,5457515.6413022,5247494.75637834,5115443.1560563,5174211.46128834
5266402.87406474,5165627.61801231,5378014.70358242,5356652.46408123,5212694.22125835,5255601.5411385,5472001.48112711,5256043.14193992,5123994.95241418,5175315.35425189
5307326.00395876,5168741.23466507,5396790.29186109,5356408.76838145,5219740.03141615,5276678.62352244,5477343.2124811,5273685.95273322,5140157.27990653,5207382.289596
5311741.92799401,5171680.18818934,5410090.30889281,5377565.19738507,5230404.28005941,5280684.26298688,5480594.71863075,5271003.28506761,5177883.16480722,5217124.93559744
5332685.07767998,5242609.25653106,5412166.56831132,5380595.9587821,5237968.06821861,5297035.54511369,5500053.62832202,5296341.94828142,5234737.42960876,5218413.15785143
5337566.29138257,5251143.02194224,5416312.90277553,5392822.4416947,5243619.85610506,5298362.33157705,5503221.8882452,5301847.54051561,5255651.65982628,5218689.09967259
5355576.62376715,5255558.42783841,5420395.92616193,5397997.14927538,5243154.59205147,5338132.87081141,5527030.32702371,5304839.89446802,5288163.27324133,5221080.92221657
5405822.49413618,5271571.88059577,5427810.17789257,5423740.24667161,5251116.05416776,5379873.86864072,5526576.33142502,5306962.36025859,5296711.51518783,5223333.12440643
5428997.98215258,5272546.25560281,5453246.06872107,5429356.95914027,5259970.45276123,5375591.15788649,5534828.13528407,5330564.32970587,5295578.263221,5281807.85398696
5461023.42393493,5285660.37233796,5454906.08107186,5439508.67618955,5275181.88961155,5378579.80713243,5537024.98530923,5364043.45176422,5307141.11068428,5284428.26950783
5460071.40439364,5285748.87598376,5460416.71212436,5488991.77654865,5291876.17752611,5383925.86222997,5541566.59593158,5364033.40471354,5312310.76519329,5290500.68161112
5517379.80295164,5289292.80651525,5462911.55810765,5525232.68437478,5422514.13586741,5394807.62787589,5540014.80963497,5369129.80210807,5311537.57635058,5295307.02348238
5512839.00217552,5292620.89875211,5463540.10094707,5527203.04478207,5424762.86551588,5402808.50743994,5542160.34967198,5368565.37163191,5345785.52546738,5295313.6246474
5524170.65249274,5299815.18066438,5466164.407643,5526724.6550532,5432823.35619656,5411767.71861771,5542727.45056847,5370813.97859056,5363250.54383109,5293017.16957935
5570262.34762203,5302565.05508982,5469436.16110223,5528524.83777439,5432700.86694295,5420278.90890215,5549344.6658736,5374034.89540706,5378191.7380507,5299964.07624917
5553121.05495493,5311515.45324393,5472489.44273596,5515099.48137042,5436453.30673729,5454353.69102469,5553704.59276175,5374335.05298703,5382496.95714443,5364554.29394383
5555237.84428243,5321506.78521659,5494426.5076407,5518540.92430188,5440914.77341893,5544763.84203732,5558259.68423582,5376452.18225265,5398146.01292119,5366086.16317898
5556247.71792233,5321146.10100616,5494229.288201,5525547.53163497,5448185.24399375,5604456.20149727,5563669.82166471,5375977.27403399,5445231.32698971,5365310.77980302
5582757.3833613,5349651.29799832,5499750.35314885,5533525.20104204,5452473.22346457,5606831.71231575,5567227.87229293,5375321.79585044,5447546.78178647,5365047.93508003
5576098.68644068,5350923.62043617,5530319.89962044,5538588.03260643,5455076.05868635,5605809.46926029,5586083.63315941,5399718.32975485,5449115.30475847,5367816.36016086
5585945.34305583,5396619.6008501,5531606.79017921,5538203.21025434,5463107.59484101,5606581.54030873,5587019.47944612,5400363.98324318,5448854.61282742,5370098.75319034
5617278.76442017,5396678.41579379,5536894.23635344,5542339.6606602,5466818.8420012,5609313.19272469,5587372.76983737,5400536.64830087,5456298.58606934,5375102.38118449
5617689.7546398,5400247.5313872,5538050.08828724,5544125.94146279,5466359.31294472,5607905.67968363,5588636.89257827,5426966.4351531,5488886.72411496,5381031.03366557
5679273.7249961,5399704.08202741,5542007.97611678,5541735.65333781,5467304.80098933,5610937.18398352,5606792.54567675,5430940.09130008,5493941.07881621,5503171.06236878
5680484.88001683,5400027.51703622,5546542.49583596,5550829.70025165,5468837.15144594,5615055.60745845,5606792.54567675,5456063.53841169,5496820.23808731,5504756.02274335
5680559.53188224,5400654.56257304,5550037.84683672,5584360.8085242,5473969.13065996,5616166.70517436,5641559.50740113,5459151.4621042,5505075.02237189,5508442.70736189
5689756.68582202,5400474.76407329,5554922.06257808,5588011.38402876,5485931.74944017,5619962.48319398,5647359.39635385,5460095.51339659,5506879.29659033,5508757.76064809
5689228.46935762,5438192.94979941,5576446.59694948,5587933.76915857,5486698.10261758,5716269.19981388,5647252.89036561,5468524.78220456,5503484.04972122,5510232.97788924
5691505.87052096,5441280.95337241,5575104.42293458,5639337.3543316,5515352.73104883,5751175.14923218,5647381.73790382,5468996.5554455,5504462.68080399,5510921.84842132
5693675.84760895,5442664.88658858,5575999.75458162,5644016.95483928,5515334.1678683,5752345.11264591,5649137.62438315,5496684.72275708,5525080.27444027,5511298.96069773
