"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3857768.72709855,3547594.51336561,3482759.17912702,3747854.09288803,3795474.23418428,3866815.6951522,3573476.54471715,3875706.82838462,3528214.20776543,3990642.86141865
4057970.87129096,3904557.20336252,3849720.58763638,4062618.28574415,4144848.44138386,4102013.72685536,3962538.53450512,4109824.63418873,3788407.07992167,4293337.83866218
4302382.19977413,4076933.41263983,4070068.25411051,4239004.90990518,4339392.74707255,4374408.15259065,4204691.52433941,4213326.398255,4023706.76740261,4418357.12882982
4409758.90186561,4283234.48890132,4401740.76601563,4411872.84343644,4465367.1757551,4389350.53122383,4420153.60674399,4389638.55972447,4236597.82024156,4488849.88896333
4500545.63406921,4409406.36018073,4596345.83018531,4540189.16795957,4574675.08773536,4530005.66590986,4560713.54377578,4518397.93916268,4380289.95839096,4580023.66171792
4623341.62636474,4661913.86988386,4807685.59840591,4812277.4459261,4588022.15327042,4669671.17295048,4817518.87397777,4592417.34668173,4586053.08241205,4584019.73428243
4765474.60703627,4760854.46511956,4929715.5965706,4922671.32236231,4599972.9841931,4900976.81019168,4842425.20798448,4804005.47409558,4704321.67502947,4621851.81356402
4786718.45164754,4959785.83327648,4981799.41541134,5031608.70124834,4666157.91353772,4913134.74707743,4844244.60293694,4923899.31184861,4815097.31340208,4666750.26823422
4817547.87337735,4994134.77703774,5080849.30691465,5063188.13418636,4986731.73218623,4914575.65847025,4956009.4234202,4961528.30406012,4873767.80055613,4746422.49586026
4873997.07149913,5025259.74004911,5131474.54433772,5110635.49627993,5021431.62647203,4917447.25891587,4996143.49645946,4970844.02377547,4943795.61406443,4792468.55063482
4876747.3158039,5086962.84891822,5136584.58845779,5129169.7800205,5106588.38350897,4919507.74345234,5028125.60351055,4968709.02790059,5004295.81380428,4894554.03274164
4944178.60263403,5116937.2147987,5136817.86032061,5132385.49497074,5103584.33902115,4933942.97975599,5041377.31291953,4978588.71913017,5003922.50602283,4910433.84564386
