"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2666271.04238667,2604659.34690487,2584922.23883714,2654356.02019229,2697822.28963574,2598056.68650719,2631459.58433749,2645781.14220561,2591552.43585694,2692362.63604181
2595837.93460033,2559486.56032074,2605829.19944906,2674214.71594224,2581473.41901894,2538911.03836878,2588697.65738375,2607537.28285733,2543290.5748595,2644947.65659745
2591240.99990937,2585977.66989782,2594714.99279996,2619334.41429551,2613089.19721782,2573178.78771367,2573143.99112525,2633590.06301018,2594171.08861901,2632757.03685198
2618905.61850561,2582866.95917518,2628971.34059086,2664112.97580812,2580235.76832784,2586279.06689993,2621736.16840991,2551001.14393793,2551465.29362118,2575259.36308399
2633612.02170795,2575908.04751179,2618834.54829304,2661670.04453611,2579309.33754991,2594859.23730206,2611826.37619333,2561638.88389564,2583979.43593826,2584650.29209454
2631087.37423442,2601563.47102768,2603187.02955842,2658112.52299986,2595208.91111152,2590425.78920625,2609339.7373556,2571956.16489907,2586257.81853408,2594544.13343216
2649063.29002033,2627235.70854302,2606806.25234118,2649106.27645445,2617345.03691115,2602343.13987808,2601435.26017836,2592944.34452472,2612112.83811276,2605471.73892865
2631322.8246646,2617889.53642016,2610938.85316495,2654024.04485848,2621757.78699853,2613590.35061984,2602312.44025425,2606398.83850213,2629245.00391381,2605393.46759257
2648974.91201592,2604580.66493416,2626819.91434036,2639994.06307053,2625921.81657482,2615458.54405281,2610449.77328,2606044.76150288,2597130.45690687,2603709.17584382
2650253.19627082,2607409.55514616,2625900.10341822,2625045.11758658,2624302.04828268,2628361.23951181,2613746.21730083,2604933.76184369,2620940.98183576,2618974.67789303
2646202.37626521,2620343.96096121,2626654.41281602,2636375.46015765,2625720.75809296,2632947.72987614,2630032.55586901,2604445.13452695,2623539.2763036,2627406.64611193
2649655.29037849,2619050.99468199,2626121.65076013,2676553.8663804,2625565.4222245,2635106.18882335,2632344.32975961,2605699.19560708,2631086.80525874,2632380.16958483
2651458.37692564,2622877.99189319,2623118.77555155,2668863.48439391,2625234.31138756,2639985.68469341,2636331.34739613,2612558.70616078,2633950.30734883,2637683.0341054
