"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
561356.909950332,514460.627884626,535797.784334797,569660.279591692,554788.974004538,536893.757436669,512195.681554397,521233.718682952,627984.460163749,542340.645474093
733168.69949676,724675.838123939,780940.729754241,724906.419081098,747766.207793911,757715.665227521,778079.954792629,763639.811007714,750342.167907621,742277.516750751
975681.805079479,893325.016953743,907030.26931734,938782.336064212,930805.367228245,912502.032526277,987047.088039941,925282.881351647,891801.9833218,879445.245676453
1097688.77192449,1040781.02224268,1099082.79127237,1038490.48973803,1125614.94672307,1052302.10322996,1107564.92639711,1068610.43160391,1091055.80151856,996964.488233502
1240655.68977986,1128232.00157222,1166887.59364024,1130987.15090988,1263549.20737273,1159716.36808558,1262605.6112727,1201769.15735981,1187375.03852601,1174147.08419587
1355600.37928496,1273100.19289225,1301563.22297941,1256365.32054904,1358168.99808493,1219720.36832608,1389919.7895249,1365435.32699344,1308378.52863958,1285673.70183404
1479734.57412482,1360332.60888548,1385806.88778868,1393912.69824989,1410136.32060277,1300748.84451977,1528945.53427797,1452472.13874785,1405501.34531909,1361013.12151764
1579787.44762074,1483258.79958546,1474969.17358574,1476540.00457773,1471280.94930671,1398372.41043069,1627195.04702775,1503835.2915214,1480636.80935703,1467662.99029413
1672665.51109003,1546256.55033317,1549126.144441,1513762.16627982,1538014.02588765,1474170.25952833,1719512.84206677,1575834.00319288,1603827.1511546,1561374.90875933
1742610.9296803,1619772.9784499,1617910.76510133,1594472.5624425,1593409.75644696,1562623.49829628,1821160.67970527,1666618.93155524,1693671.62128911,1628393.59914452
1840238.85804964,1718658.92230442,1666127.75549932,1679990.77308764,1698191.95611187,1632314.23621374,1841506.53595653,1735271.11527076,1747231.59025274,1679853.74862277
1886268.62627414,1766799.18326211,1692580.52284144,1728822.340312,1736516.22845076,1695834.49182791,1898612.76374797,1791420.89625557,1770823.08404845,1725856.14397638
1912084.40988862,1817059.75036211,1749426.68020333,1798528.88078136,1800325.05343286,1754467.272473,1921701.05429052,1862246.16056123,1792475.27570787,1784462.35301847
1920578.31936925,1835988.86578403,1764661.51114359,1869557.34921245,1875820.76252717,1862704.06051768,1965350.01630701,1914784.37614307,1852841.92146324,1816155.2674645
1949137.04373998,1863992.75690512,1820132.21494063,1923355.13500841,1929248.66062307,1884613.86514765,2000523.17159268,1971874.9678616,1886707.12698612,1882043.40822615
1956381.68758501,1932637.51651013,1863271.42534281,1967069.52399166,1953805.15922509,1893832.69083964,2000045.85673624,1981051.41660224,1927083.11819957,1935822.5341153
1973255.53090655,1954312.26592595,1917850.69064383,1982916.96585665,1986772.52890098,1940017.26553101,2034711.96047789,1989149.88433699,1970572.97194876,1979594.53127328
1995404.34602093,1991899.62857366,1971729.56780082,2003488.58223279,2046103.15502136,1957531.12848858,2055642.25776324,2001605.99105766,1989183.23112922,1998383.47484773
