"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
682107.14204461,681172.092201642,678566.567596222,677911.053251474,662682.937766632,684425.210598434,685977.079951288,662952.472132379,715515.863947196,690580.252513292
986369.596928598,966680.694835521,989968.573602438,1026493.57741166,971731.800110629,978411.737457247,975241.875880732,982793.611742199,1011446.63555292,1016991.29857789
1249238.38731743,1242342.24280283,1245582.38775066,1294384.01930443,1204722.24411031,1265078.19520079,1236836.16592039,1247374.73213866,1267063.26702691,1254055.69649772
1496623.26017627,1471925.93219881,1474867.33633994,1499416.00950707,1428502.56858165,1516206.39442399,1478635.9268151,1480214.59646362,1487788.79843727,1491178.76344978
1678819.19772641,1679073.6965313,1638413.48168681,1681010.56577066,1611371.19390649,1691147.945162,1718698.76221187,1661533.60064734,1660496.32734246,1689129.25491133
1817288.05797892,1863938.21273198,1773556.9610619,1813144.00904195,1755662.85816074,1842217.83450663,1889480.09188105,1825294.53246047,1805080.50114518,1822063.3558588
1913767.83108129,1969123.08470798,1893904.82322968,1976439.89313559,1881784.68420035,1977358.37203454,2014067.49066923,1957678.81434985,1929047.75699677,1959993.06276359
2027218.45839157,2092882.09342192,2047167.97730584,2086995.55833783,2036086.3250944,2085756.61574076,2053362.17565008,2111783.70968868,2078285.93408426,2052579.69250351
2132606.81262755,2162641.81542267,2107253.86719707,2152378.42414157,2083336.73226185,2137927.8458714,2136895.47267245,2192546.41151156,2190146.23994443,2159190.00450608
2170873.86193827,2175260.84324028,2202459.7536274,2243541.82684143,2143683.17474639,2209127.47231791,2177632.18685604,2261785.1443617,2256587.1098489,2207126.51734357
2184214.97799919,2204831.45920598,2263641.35221982,2285799.45559746,2184751.45384515,2275100.87940461,2231448.49679156,2277511.8484352,2283111.92632725,2374703.08185374
2263940.1471529,2216844.30034741,2297612.88403769,2316901.93267051,2206516.13520558,2348785.91474104,2297649.25435949,2331238.09482738,2298309.82931224,2394456.56590398
2277466.44893216,2242770.63620713,2379294.91019981,2332661.54157589,2234657.59252879,2382634.69963747,2397453.64925107,2353257.45178733,2349086.02933833,2404413.01641197
2335696.25241221,2297230.66472311,2406161.64885259,2362927.92236288,2271487.59954603,2412235.76097702,2412877.15198531,2450689.76106396,2415362.66931412,2470365.51130497
2420520.29191217,2344979.57685045,2416578.80422682,2370290.29145103,2317307.55987385,2433094.57911835,2418160.20779433,2469389.06629528,2445962.33465382,2476789.16866297
2450964.17523146,2405744.74866609,2435584.34103811,2401627.79875486,2327536.2801014,2468337.53783098,2425341.9786872,2475123.01540471,2466042.48036044,2493397.02273222
2481338.46069612,2435108.20580676,2464654.31632685,2439720.77587207,2381721.1755752,2495155.39037816,2430746.32347635,2480102.20722583,2476930.4408542,2513421.50524518
2495669.23994154,2463833.82815889,2495718.95167889,2452103.59970972,2407733.67827155,2497319.9936583,2437835.1233601,2494005.72403917,2522496.97634234,2535240.41557755
2498910.73986647,2490231.39672817,2497362.44756299,2457203.04365389,2444131.89966295,2550358.8733421,2456473.08620897,2529127.62024308,2530662.11609632,2549779.41365199
2515391.28480552,2544777.02271752,2497163.79252068,2483054.15095746,2477720.37207214,2553492.21279011,2484512.0704613,2536829.71518895,2537854.77976696,2551648.74887366
2530512.97032748,2544435.33634887,2502524.60165554,2512475.99755759,2501349.91579044,2565683.95560086,2484737.2631489,2593178.51915983,2574605.04156767,2557728.48640195
2570275.21037565,2567891.13292337,2504415.99361232,2523717.76103168,2514224.76044919,2575133.52305438,2485877.00931878,2600430.73542076,2604615.14558096,2559407.7940907
2596311.94572539,2570679.56887263,2523793.12601892,2528900.24324989,2514928.05484625,2580993.45128244,2502116.64187562,2611766.52002758,2616553.08709211,2585544.02060091
2599009.90959133,2572511.14554286,2526119.65904232,2533806.02764304,2515056.49569246,2585247.00907722,2509562.5253685,2616427.38079453,2622319.71382803,2594159.85361901
2616702.75007829,2574429.2761566,2528789.27825465,2541302.05805204,2517324.36032583,2583705.71153321,2509989.74012191,2616653.14054508,2630619.03152615,2599017.0497894
2612606.0334485,2576288.2959805,2569675.69699371,2558563.373812,2515079.94032743,2583932.36713129,2522973.3046446,2617683.40202771,2636535.79586267,2599278.05792411
2617461.37017855,2586165.34682346,2567416.06952306,2561663.31970794,2563812.02337454,2588310.39535802,2522806.2432059,2621141.80515829,2637407.65894584,2601592.95469176
2619558.761176,2586907.92096745,2572356.49511572,2564274.30483308,2564565.07371356,2588618.05370297,2532986.14836377,2627999.21325733,2642691.06811579,2621553.08868032
2623745.56491803,2589524.61740877,2573621.5345937,2565933.04973243,2567983.97197876,2589308.20245759,2538915.81105893,2628364.2814466,2644552.50924191,2621659.68397988
2626961.83219362,2588936.20407261,2603914.12693942,2583135.13397835,2567913.66111989,2592509.12498621,2540293.00397752,2634864.32422405,2666372.83372196,2628927.20463704
2627102.68097968,2594461.53743785,2604857.91503679,2606994.01261142,2567910.74322724,2593008.40185549,2539568.38379939,2636721.77930886,2694255.34812443,2630203.11608407
2628134.94636378,2596806.77258293,2608713.15044071,2609065.65519778,2570783.76434941,2596687.83637384,2540068.0777281,2635454.76514571,2696858.12601313,2630215.7284849
2629578.41796833,2596630.9323145,2610471.45570985,2622039.97135099,2579194.49675127,2609231.54354115,2540731.5663739,2636771.00869726,2696155.31919148,2644733.36227711
2629108.85299349,2597201.65382302,2617500.94117386,2622734.52686204,2586286.24531498,2619756.45458572,2541189.61909532,2637095.74801284,2694776.36628922,2645831.7744917
2630166.61444374,2599119.37895209,2620443.56829599,2624384.07975976,2587232.53137687,2618176.48714855,2541366.68373395,2638931.13957439,2698215.25143896,2694044.52498838
2631567.38101647,2599590.28748833,2625233.10075441,2642695.57755124,2588458.40179106,2618318.66434684,2548102.0550852,2639377.86380493,2722333.12933757,2705386.41324324
2631987.00012816,2604371.12752707,2641030.44004804,2644623.84517716,2589302.44233863,2618468.57625793,2548622.4428822,2639640.48013418,2721970.15117155,2705198.00235196
2634988.28543934,2605380.87914798,2642185.88891819,2644763.887791,2592177.82199274,2620374.03425768,2550490.76885015,2639707.92294738,2723256.06384624,2707943.24995517
2637137.64499867,2605963.75257362,2652513.17798179,2644387.01628884,2589115.72737755,2620231.70347634,2562936.66407327,2639772.46691969,2725455.02958526,2710730.31909426
2637093.14599962,2609010.5081699,2652009.31484183,2644437.86777924,2589183.18760975,2620946.38157344,2570899.54481301,2639782.2476617,2727065.71423365,2711088.23059926
2638603.46064731,2615602.29379571,2655721.95348199,2650077.43378629,2589913.29742637,2620860.03033947,2590125.83207073,2650853.35645622,2726702.20689123,2711043.86365646
2639745.21547503,2628266.86430464,2655990.9532066,2650472.99091212,2589524.13995991,2621013.70782174,2591092.8635723,2656311.05888207,2727332.60877542,2711402.76181643
2639225.66973927,2627911.24583534,2691218.13119685,2651130.05376601,2593713.88703408,2618783.65502429,2597476.94983513,2659682.98968325,2727842.85784783,2709727.68501887
2638073.43655754,2627504.11422453,2692402.35718768,2677078.53672715,2593664.76379435,2620511.80756536,2604202.18573321,2659554.80906393,2728481.56216816,2709531.61367903
2639969.86389537,2633534.82276536,2698641.8223263,2671262.27630413,2596112.21028149,2621367.16304086,2623210.19662977,2662540.47807901,2729071.66869761,2709791.63746686
2642660.79701535,2633197.15629392,2707595.38667863,2671724.89635556,2600986.83070845,2624349.90060329,2623094.52530109,2662540.47807901,2729071.66869761,2709781.00664246
2667220.09235577,2635047.39257553,2707100.46018609,2672874.17590377,2601233.34744304,2624271.63366858,2622678.75045915,2662664.08053637,2729252.37843201,2709709.91337063
2667178.84772005,2638854.51823653,2708522.36667471,2700599.0690067,2618649.0379673,2626023.27984702,2622938.76493856,2669532.49507994,2729020.27336938,2709700.10576288
