"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2901029.01082614,2904850.10704518,2846341.93779736,2946448.89806327,2869953.83855561,2887000.1984614,2910762.50245189,2948616.60380511,2915948.7214589,2923609.55841119
2903631.18006802,2948875.61776278,2886595.6488758,2988419.03084437,2904667.15604126,2926376.5711023,2855429.68873483,2952477.67497006,2888043.49059301,2928849.71421271
2943205.17893257,2919699.23889063,2908803.95037922,2962229.80671728,2901623.16427306,2951198.21856449,2940883.26638022,2948333.57418001,2995027.42943806,2904481.54741732
2967117.4343478,2916298.30114032,2914133.78571866,2981119.222298,2918544.35712907,2942111.2178505,2939813.94817489,2955110.59822368,2998119.12733064,2937688.20489861
2975711.89291881,2949949.47713145,2941175.76499968,3010808.0767836,2985485.43791176,2986353.12192125,2967536.96912933,2989787.53034872,2983899.02089093,2995513.45202238
2994548.98080991,2952586.72148107,2930992.99228542,3004667.77048102,2972719.95315216,2989967.43748266,2974141.75244755,3003662.30122312,3031547.70838226,3005157.21723139
2999282.49564219,2963107.37368522,2996676.00141173,2994659.68295903,2975134.235169,3004580.1023648,3058056.76275846,3000527.49423225,3032293.7252467,3026316.50029548
3007112.588103,2966012.39199687,3035377.7955588,3000133.55742923,2996265.67217822,3009776.85875715,3077146.76765689,3006032.52187357,3036943.58183875,3045510.73627873
3007512.21671493,2987338.27336335,3041307.39969445,3000259.31147403,2998273.24567898,3010833.8190791,3074499.54629205,3019482.47695227,3044971.75237026,3068214.44219272
3007928.59488161,3029151.88629536,3041421.20879347,2999590.81613838,3003439.68157438,3010420.92827414,3080868.63304006,3020523.98659177,3047604.30367784,3070085.79924028
3011404.67525926,3030168.98936087,3049413.29362788,2999600.06465019,3034014.89322891,3033820.95611592,3083645.46759138,3026152.44491608,3050562.34668697,3108899.68517395
3010663.61743653,3036711.03352448,3055185.95464298,2999345.37497448,3040907.37068269,3036059.86418053,3078574.58765287,3055484.17557751,3056038.80531774,3109436.34541136
