"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
613998.125434705,629422.236248859,633547.948428121,622758.873031915,628080.772965924,629029.552032477,648869.425691871,612111.291345424,662925.705508846,645291.156536276
889819.503488401,965689.341072403,852104.576721755,878202.66071371,907172.378587235,917981.939020623,932894.389848977,904323.083855911,931510.798291594,874846.888216433
1116652.04811159,1150552.70537747,1078059.95241637,1114363.51378875,1100251.56668153,1150763.86656679,1186346.14746981,1129449.05339327,1166994.54141211,1106322.26513737
1333198.23529506,1359204.29357744,1283637.64798196,1342581.83198151,1268709.71000873,1334796.60703088,1346786.74887767,1365111.00579338,1331484.215561,1343330.19468879
1491040.80763091,1531547.49368937,1456171.54521742,1509760.32129917,1470471.18373185,1500529.57398763,1539375.77353787,1507029.97173624,1498490.55362105,1532384.07030268
1646182.54934997,1668540.39090697,1638344.42649951,1722386.59300203,1614571.83266696,1725300.40490208,1652871.77800939,1652314.25060978,1651282.03010648,1612420.42576674
1770274.36619621,1808508.33983863,1785178.82007691,1827169.47253525,1723238.22557489,1822554.18345064,1758773.51036736,1770942.74046472,1761102.66932032,1729846.0091179
1882249.44068233,1882653.60978514,1881257.58923847,1925406.86295934,1870066.09345733,1926693.76135185,1901832.01796298,1898335.91309353,1826763.67785105,1817637.1353921
1961285.95268154,1987719.34815845,1940029.10089886,1981102.27462987,1943356.71041482,2064447.25653397,1999087.63571251,1960516.79488982,1956500.65260999,1873015.55225797
2033767.78199145,2052598.40594885,1980862.99190224,2066048.53784308,2029926.21083778,2142842.57817174,2080165.06630435,2033323.34356855,2052454.47806248,1967955.03841677
2097635.81056442,2120594.14611024,2069134.51934536,2104008.89710417,2070609.16525287,2181954.35508423,2127911.31745196,2096951.03888,2098868.0435374,2015819.44910004
2163827.86948629,2162042.48634515,2141187.44239208,2157808.12190198,2086708.90717047,2253427.75506458,2152967.55443247,2186017.79938641,2178926.35106556,2083626.76776144
2210817.67429492,2190508.24025548,2152855.14271177,2165093.11261579,2128286.43482211,2306858.366877,2200388.40943124,2205092.92445468,2206134.64000421,2134939.53195774
2264088.9437379,2210618.87676713,2183480.35282689,2226145.68357693,2149648.14639811,2329894.41547054,2210972.8725121,2262502.90480249,2234343.04144321,2147963.958491
2311183.74322799,2226178.50816493,2208433.60804423,2257205.70944019,2178247.11235601,2344164.97699752,2225588.22424836,2311775.68216344,2288315.63268089,2179151.16560983
2321118.61910455,2235360.56339799,2223248.80215827,2284225.09289741,2186231.63683047,2348518.05867035,2269807.00059168,2320123.17151774,2309615.41028925,2209008.69304143
