"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2462801.15691295,2481891.05706105,2468116.16828923,2510682.31145564,2530870.06946639,2438328.34808614,2487184.12922963,2500528.46038536,2432130.60747312,2509110.02449527
2489162.28966817,2490664.61692378,2506281.04869435,2573741.3531692,2528215.81814724,2467078.99266214,2507552.97588036,2512652.63779932,2462409.51623835,2559841.32068511
2525900.49680172,2531743.99671287,2521421.12996657,2568477.10537297,2570247.82833179,2522825.84876519,2517494.14209618,2554643.46214334,2521636.96743235,2563474.26763335
2573906.58703012,2541669.63635586,2558685.75613854,2595684.88745222,2565200.66163227,2551441.63967361,2562900.18896167,2527699.8987406,2522221.54803879,2550266.5503141
2588236.46252248,2543502.05433198,2573956.58876525,2607262.44143787,2567885.26071227,2565402.36923117,2576719.15321024,2544191.28179908,2568584.62622219,2568569.48518605
2592713.09604784,2565846.34107654,2569345.78452055,2608771.00335725,2581736.16573758,2566572.39654229,2583406.43961005,2558648.76792502,2571211.8830412,2578699.7483048
2610329.42555618,2591686.47631279,2582323.95385938,2609013.26964957,2597328.49973963,2583867.9886375,2581543.56164124,2581208.57253863,2591193.41828901,2589709.9275124
2605225.07065857,2589817.22349481,2594825.57106567,2624181.57372775,2604630.67904646,2596127.61675544,2584188.02543497,2590249.50726285,2601935.26392174,2591486.51376313
2615426.79550393,2583806.39383417,2611444.65304185,2617194.57989512,2609447.72987991,2598275.9937792,2594439.2691616,2594630.15866854,2586674.25251573,2595663.67729159
2617081.37704862,2586768.9132868,2613550.44024659,2610077.30106187,2609370.61240604,2610660.14398746,2600900.75145834,2594566.44693715,2601226.88822272,2608982.70083024
2615689.83168777,2604079.22045723,2614043.61271114,2620081.10587848,2611706.98813815,2614895.05089647,2615382.00313278,2594786.85176091,2603921.36247713,2617711.52549192
2618103.84844085,2603676.91223895,2613849.51625015,2641556.22466899,2612617.95934994,2616466.12534694,2619006.62968092,2596658.57331745,2612520.4953767,2621722.74695075
2619740.58051873,2608275.78798952,2612349.55802797,2639632.79580078,2612573.4284861,2620524.88350082,2622617.25748122,2603835.32955491,2618172.12668982,2627039.66636402
2621421.42481385,2612822.15307915,2614483.84851564,2645985.57453192,2612894.35748031,2622249.11514279,2633916.75741906,2605061.41667245,2622470.72565546,2626835.51590831
2621696.63340807,2614270.48859692,2615816.11654013,2647500.84754575,2614159.69720554,2624989.64757488,2632103.97175133,2608718.43945155,2623735.9739937,2627720.62105434
2621696.63340807,2616922.965916,2617743.49345178,2644707.46533922,2616796.25752746,2622094.56198507,2641563.76925204,2617484.35005211,2624731.76733092,2632967.75117464
2627624.9976082,2618537.12458074,2623043.73953959,2648595.55596811,2616891.24682495,2625361.3390137,2641374.43401153,2628318.46625136,2627375.91132199,2632478.27869115
2629139.94202425,2629075.09216124,2628012.56251806,2652919.09326416,2619165.28505101,2632013.12565663,2641374.43401153,2629005.85024864,2627475.57425469,2636569.71779645
2624487.86780693,2629075.09216124,2630232.64497631,2653253.03661737,2619335.31991629,2641868.40253989,2641374.43401153,2630262.69551129,2627493.82316012,2636569.71779645
2624746.07396258,2627219.93798639,2631768.05688501,2653243.98339821,2621478.16241081,2641334.85354194,2641267.81250938,2634736.62301401,2622930.8519443,2637599.39915967
2624377.16656957,2626794.1299139,2634119.45324945,2661008.1165255,2622143.80427461,2641334.85354194,2641224.49017708,2636916.88288589,2623254.27902217,2644035.26878854
2624503.13153872,2626794.1299139,2634392.2991463,2665175.98251426,2622159.58093811,2636803.60106703,2649350.90315792,2638218.51831856,2626268.5175558,2648307.75118826
2621694.49759001,2628554.29934257,2635489.96218674,2666517.56947089,2622705.52351781,2636688.0608552,2656146.53644943,2638076.46787487,2634846.93746409,2655155.62901471
2622365.21709764,2628538.3967713,2636078.50096842,2658824.29856832,2624366.20178296,2636962.61534388,2656472.8040637,2643851.35878302,2634846.93746409,2655155.62901471
2631429.12817487,2629184.24109366,2644434.14592095,2660005.88792927,2627120.28193905,2637045.32876579,2657854.59533172,2643415.66039915,2627566.64566428,2656612.93879108
2630539.97017671,2629702.76233126,2644009.13425918,2660031.03319931,2627989.51711441,2637080.6967754,2660981.70816075,2643541.12063907,2639159.01538593,2656612.93879108
2633885.75936672,2630558.12173238,2644850.4718594,2668023.06890937,2627863.82854328,2637221.33182551,2660784.23045277,2643541.12063907,2639159.01538593,2658349.72171557
2637063.13935836,2630709.00903248,2649702.10862134,2668920.36565385,2634342.49620056,2645071.81735884,2660937.20100509,2644433.70938035,2639159.01538593,2658349.72171557
2637702.47990726,2630422.96106567,2649766.06668611,2673974.99436645,2634367.46807976,2648238.42119832,2660877.27955511,2644904.86557405,2639159.01538593,2658349.72171557
2637702.47990726,2632099.34136432,2668275.46382969,2673628.67344336,2635187.56170245,2645851.57603546,2660877.27955511,2644255.1167014,2648529.88199463,2658349.72171557
2639374.94429739,2636181.34189607,2674981.07871753,2673969.22082309,2642580.11702971,2645851.57603546,2661090.39885091,2644155.10393245,2648529.88199463,2658564.40479726
2644520.81741294,2636117.59905299,2674981.07871753,2676804.53239242,2642685.1911416,2646754.55353774,2661333.21640227,2645118.64839525,2648529.88199463,2658564.40479726
2644520.81741294,2639974.83099306,2675267.52368769,2682163.65772536,2643703.91162126,2649468.91323965,2661529.24595613,2645802.70482831,2648193.96801231,2658564.40479726
2645991.43898288,2639974.83099306,2675169.63287861,2681791.43876274,2643370.54421684,2649708.45807143,2661877.65434088,2647339.04439336,2646740.33398778,2659939.16949567
2645991.43898288,2639974.83099306,2671497.26946234,2681100.42221327,2641867.11387693,2649266.05591724,2663114.07400705,2647339.04439336,2651990.12804012,2660427.80776118
2645910.01248966,2640796.43966305,2671849.40223643,2681100.42221327,2643358.39366883,2650149.84090156,2665196.58017129,2647329.43443163,2651642.99638192,2663244.07883942
2645894.64042864,2641338.03861058,2672062.80191295,2681004.42920383,2644272.49847163,2651643.89009957,2665196.58017129,2647380.98388373,2651642.99638192,2663244.07883942
2644845.49756367,2641340.70456385,2672623.23244227,2681034.83525119,2644363.36839677,2651306.3417223,2665196.58017129,2648543.75150461,2651642.99638192,2663289.16259232
