"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
754288.836287653,775301.203178894,824933.248442624,766304.457222571,726809.760767853,794074.05684959,754293.414561674,752513.297351728,812317.801411832,746410.303677149
1043028.45157339,1103483.68712525,1160871.88812938,1126905.01671618,1078914.1606523,1126605.58748487,1091554.08543465,990919.683344659,1169684.32975165,1012920.23414342
1343353.10205033,1402670.24437173,1461637.63587504,1496420.36494879,1367686.61813682,1469302.17558602,1430714.65292776,1389502.62051609,1384202.50888127,1342251.76558071
1620071.30521409,1731058.78143097,1674998.50736818,1699067.12832168,1540321.04278923,1638850.09249659,1711551.21781146,1755720.39097787,1587836.44465564,1678767.75171816
1813044.47949497,1902431.23638203,1824859.1432204,1822837.26175794,1743611.9690522,1784527.01845834,1936996.5357176,1859229.02287592,1816053.1145176,2003283.87567031
1910674.59004419,2148959.4845273,1919178.23327591,1963815.55341858,1969897.07935717,1895979.46098863,2104446.51391399,2001589.73410373,1992104.73129592,2086339.92352014
2031811.32072512,2231274.48936705,2070934.47433577,2070739.53833929,2165646.26702788,2035447.82869073,2220181.86444401,2157406.14301137,2057175.88057314,2137280.38388872
2226902.7200151,2288065.21906045,2149856.41459855,2126595.81371338,2250829.52772278,2152003.72982222,2358491.9850845,2215972.96495356,2151045.59151363,2195590.46876179
2367042.37321591,2355873.69889063,2288560.91880911,2192248.76220386,2279758.58836626,2246426.0390793,2409766.72502936,2357702.14604501,2290446.5903031,2321562.60743381
2432189.50773353,2398932.30548671,2368010.99563725,2336166.60027998,2399725.35260854,2293733.74223969,2441812.0596603,2428434.52939764,2339084.71871165,2350183.03478956
2471531.09979282,2459837.27547705,2429286.06340332,2370855.09743453,2423360.2150875,2373526.30149265,2556937.24570712,2452714.93034792,2426730.30785014,2401024.53780883
2518287.28530552,2543388.4645783,2478403.93880604,2389620.94944093,2499280.36015162,2401389.65253186,2575812.50738914,2538524.86472886,2529939.83437612,2428512.92959428
2552169.65261455,2583283.67875131,2544859.73239844,2399647.34310911,2551844.70746803,2483575.25171871,2585532.07050249,2563521.20333008,2550598.80108238,2488310.55566315
2592517.24313009,2608894.38455739,2547819.87710772,2489417.35615525,2582086.28738991,2510080.42246936,2633914.6101119,2666027.80720265,2578827.14299651,2541093.67009209
2607197.18260822,2653158.11024286,2567880.22509802,2520286.6472697,2596079.46456783,2522804.47162631,2656006.03341541,2699659.55829011,2575431.98080617,2546319.66121536
2674311.19139219,2688839.00856929,2566610.33514182,2525200.47299688,2655501.32052709,2548013.26078034,2718207.87611616,2718693.56892596,2627018.03847847,2640210.99572876
2685561.44881761,2724492.4870822,2604840.56172149,2600484.37277125,2666061.39105735,2560574.53942064,2790337.1139002,2716100.32868366,2633532.91376113,2641713.19005058
2721312.58758216,2754942.40309285,2610606.43024568,2622115.91749793,2672120.96085771,2567248.52184655,2790485.08636331,2724135.05848661,2647062.37202461,2645376.01189084
2738137.697171,2805289.20692034,2611300.35340346,2625857.66487843,2686415.03211052,2577118.94451867,2794851.09034212,2724016.28341281,2642561.95473383,2658992.51637769
2771789.64196248,2809442.44460094,2664862.38924021,2646885.72030148,2702886.5939733,2592731.78558572,2806640.16859515,2733529.33245805,2702684.83004867,2662502.39907477
2777065.6562688,2810336.61958415,2665926.95847785,2659656.64728436,2706743.41170527,2610610.5452449,2804901.75251387,2738303.98225249,2730045.61034812,2699281.49297605
2791870.64137423,2831751.90403776,2673234.03683771,2676210.46777845,2707674.55919503,2617236.49010028,2804923.37045508,2756462.6133182,2717063.17152192,2728134.17089745
2797745.30819239,2838919.70722278,2693114.64428558,2670563.34636888,2716584.31158426,2620447.5816922,2820943.6528012,2756462.6133182,2734374.11599418,2728338.85849862
2835750.69739562,2839854.61961186,2703942.32332221,2671647.81472994,2716719.38392005,2634165.37608023,2855701.81783071,2753717.91199742,2749555.59681292,2737660.27920917
2844794.67318833,2840575.46684722,2706640.18744023,2672606.68334119,2728906.90249707,2641617.03118719,2859973.68654229,2753717.91199742,2743172.53040532,2740122.84236401
2856702.89594803,2840997.7073586,2706181.52412952,2689463.98149995,2738333.20120898,2654089.01956448,2861495.87396472,2759592.28778715,2745096.3299194,2753951.12802386
2859153.55632749,2846639.02545978,2715653.01682578,2689300.16397145,2751463.17884909,2653963.66721221,2863397.17703221,2759821.80683353,2798005.49516059,2753487.50891113
2859153.55632749,2846898.70380248,2715271.86342906,2689233.59443704,2750196.29634586,2664678.75519644,2864929.75392668,2760864.98667402,2809381.74524586,2758010.11339021
