"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
508123.623512068,579658.755736787,575032.444310826,520349.120380952,557623.674985871,553442.305908239,567898.786369507,533056.555834621,545915.662052896,528204.027225913
657467.688917987,706762.09314784,797019.458519832,745206.88586017,683896.603705316,740550.01759004,720280.472232098,702929.230404762,730833.760047755,784651.399645374
850827.627996172,855960.728869451,977519.061468318,923890.104697328,865427.302724469,876935.107037542,859364.332394361,882894.054192043,893048.408954085,947014.329854271
980109.124065644,967748.631341063,1167245.64497082,1112869.69070889,953506.826285586,1023934.03485992,998651.587932657,1035421.84468809,1039436.82793594,1049453.40712606
1072672.67524178,1102165.91738029,1247486.38517044,1277718.73315092,1062251.78450574,1116263.76262693,1123131.49386056,1133058.56693234,1136676.09458428,1182271.48040223
1217081.33660559,1232658.11675708,1357848.20424231,1390381.4016159,1162501.71286101,1271615.73647152,1214262.32084005,1240738.89299656,1249836.15847188,1310037.04270564
1305878.70647832,1333634.52024174,1430109.27153092,1454573.73005509,1250854.76215639,1354475.00553897,1315973.89512577,1325663.07221021,1315039.33658018,1376082.85063238
1394840.80517201,1416881.20394862,1483138.66093623,1558229.16800469,1347019.44496208,1453822.4504026,1390104.97781266,1409829.13455004,1386853.04627452,1470866.95904404
1451857.1070434,1484424.78749032,1554132.87834642,1598094.62161832,1389956.04669879,1510733.45974121,1476963.34289506,1467192.01562985,1471408.82938455,1522453.954877
1528881.29147747,1598103.61533278,1630188.91979548,1692902.72997508,1450902.27535664,1567965.60104,1569848.7325327,1533523.36108388,1531745.12187999,1571404.73605145
1599353.53250706,1634229.25129264,1680636.81770971,1746993.43895416,1529817.59011439,1628066.83979796,1623417.85022622,1592516.63191108,1620711.84755497,1632897.76183968
1690825.1729328,1694956.00127752,1748115.12078556,1809931.61181936,1604854.28382108,1651997.42235565,1684315.02360893,1656850.43246181,1674216.93366738,1684533.31687306
