"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2828525.27697527,2826302.06586513,2784682.92516843,2865591.70832575,2797136.25243218,2819993.84019433,2829650.47519068,2868163.5412386,2820450.2648409,2818156.29812187
2883395.0558645,2899656.05904665,2862840.42034123,2926384.09034813,2884252.84341372,2896622.05890196,2826826.44497772,2900905.81926259,2864885.95312739,2885415.244958
2924034.10824293,2896665.10653853,2889876.55455465,2938977.45760627,2887468.99866551,2930699.48620097,2903291.94812449,2924237.02934867,2961767.60667102,2898630.03161368
2944388.76072711,2902142.07783145,2896925.16471829,2962278.70463645,2902399.03278316,2930054.95991352,2920967.4415851,2939933.96356801,2968705.47840408,2931005.96549953
2953994.73304016,2935383.17024381,2927801.5812769,2985715.97232265,2958152.92847211,2972043.15153675,2950397.84586594,2969264.2879416,2974201.50909787,2983204.19951385
2980272.7867438,2940752.09607847,2924820.63213897,2984212.61453026,2958740.30454395,2981581.58870134,2966502.1229849,2983685.80723136,3021565.31613118,2993497.24298195
2985890.27328948,2956678.96014662,2981053.41592405,2980224.90110629,2966596.30509961,2990827.62212485,3037479.2675665,2992202.09744032,3022535.59755031,3016438.87849099
2993375.87089933,2959903.27695695,3026548.49845257,2989715.87398757,2985170.47581092,2996652.99106771,3063389.82946567,2997681.8534928,3027171.10306823,3034792.04368452
2994958.36520258,2975288.95031147,3031938.15824918,2991287.17652301,2988431.68759588,2997965.18235769,3063484.50408366,3009160.15412375,3034421.09765619,3057179.02747508
2997870.83586727,3018760.81492194,3032362.79291351,2991023.00635977,2992810.97004936,3000027.7443267,3068200.12293038,3010859.8811678,3037447.77904059,3059588.20622755
3003294.88156564,3020673.01050249,3038442.21010647,2991036.04483652,3021992.37102471,3019796.18255398,3070717.7885729,3018883.34990085,3040270.12072743,3095095.99482906
3003455.7003872,3025000.30627639,3044986.48013407,2991067.2682911,3032544.96571434,3021559.13618035,3068447.43918679,3046035.95620301,3044396.68772874,3098582.6168093
3006321.7076458,3028454.83589514,3046521.39021671,2991124.26672005,3034853.8643429,3021559.13618035,3071446.64667349,3048609.79856063,3055668.56535707,3107099.07547124
3011620.02640946,3037048.18981912,3084816.58797588,2991684.2384516,3042823.40582586,3024463.77757035,3075071.25409886,3058241.29442916,3057370.00943022,3116182.31824915
3015415.97737392,3038318.02765011,3084862.50295719,2996976.71380897,3079720.75312461,3024452.5206277,3075385.60761115,3058417.17498555,3072409.74241949,3148699.54860813
3015107.05969991,3086237.61791992,3089680.20083516,2999904.71772106,3080442.90621537,3032670.91928519,3075653.91994264,3061292.40824068,3075781.29700053,3148670.24778175
3019893.05790589,3085378.7653102,3089816.11225835,3000831.51486506,3081744.49207648,3034662.81444092,3076943.23009195,3098608.79922966,3111879.58302984,3159795.30273261
3023776.97430692,3085228.223885,3106268.77937944,3005551.83781166,3109593.98244712,3035493.85236347,3077201.09816894,3099486.6159043,3110835.58750044,3165545.8069182
3026462.49369233,3085151.87596818,3107875.986779,3005894.86571106,3109993.35396619,3037525.44234727,3088597.61217622,3099828.08665065,3121040.71294516,3172314.14308781
3025594.7258343,3085151.87596818,3108205.32795595,3008134.70515242,3116112.2938236,3037438.49419272,3088277.30172364,3105629.17780976,3120915.32444567,3173752.01660762
